Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al P  
    -23.42051      0.64288      0.00000      0.00000
    -23.41051      0.46356      0.00000      0.00000
    -23.40051      0.38958      0.00000      0.00000
    -23.39051      0.35459      0.00000      0.00000
    -23.38051      0.25619      0.00000      0.00000
    -23.37051      0.16091      0.00000      0.00000
    -23.36051      0.12789      0.00000      0.00000
    -23.35051      0.17611      0.00000      0.00000
    -23.34051      0.24704      0.00000      0.00000
    -23.33051      0.39854      0.00000      0.00000
    -23.32051      0.58608      0.00000      0.00000
    -23.31051      0.64189      0.00000      0.00000
    -23.30051      0.59053      0.00000      0.00000
    -23.29051      0.49880      0.00000      0.00000
    -23.28051      0.46951      0.00000      0.00000
    -23.27051      0.53349      0.00000      0.00000
    -23.26051      0.55164      0.00000      0.00000
    -23.25051      0.39424      0.00000      0.00000
    -23.24051      0.37083      0.00000      0.00000
    -23.23051      0.56656      0.00000      0.00000
    -23.22051      0.73079      0.00000      0.00000
    -23.21051      0.63478      0.00000      0.00000
    -23.20051      0.51434      0.00000      0.00000
    -23.19051      0.61261      0.00000      0.00000
    -23.18051      0.84997      0.00000      0.00000
    -23.17051      0.98302      0.00000      0.00000
    -23.16051      0.86498      0.00000      0.00000
    -23.15051      0.73815      0.00000      0.00000
    -23.14051      0.61625      0.00000      0.00000
    -23.13051      0.36736      0.00000      0.00000
    -23.12051      0.13052      0.00000      0.00000
    -23.11051      0.11165      0.00000      0.00000
    -23.10051      0.30672      0.00000      0.00000
    -23.09051      0.56168      0.00000      0.00000
    -23.08051      0.69205      0.00000      0.00000
    -23.07051      0.79563      0.00000      0.00000
    -23.06051      0.93768      0.00000      0.00000
    -23.05051      0.80649      0.00000      0.00000
    -23.04051      0.52826      0.00000      0.00000
    -23.03051      0.51833      0.00000      0.00000
    -23.02051      0.61609      0.00000      0.00000
    -23.01051      0.48121      0.00000      0.00000
    -23.00051      0.29017      0.00000      0.00000
    -22.99051      0.30974      0.00000      0.00000
    -22.98051      0.38923      0.00000      0.00000
    -22.97051      0.37541      0.00000      0.00000
    -22.96051      0.34437      0.00000      0.00000
    -22.95051      0.42495      0.00000      0.00000
    -22.94051      0.65568      0.00000      0.00000
    -22.93051      0.74085      0.00000      0.00000
    -22.92051      0.70225      0.00000      0.00000
    -22.91051      0.71923      0.00000      0.00000
    -22.90051      0.59673      0.00000      0.00000
    -22.89051      0.48434      0.00000      0.00000
    -22.88051      0.59829      0.00000      0.00000
    -22.87051      0.69214      0.00000      0.00000
    -22.86051      0.66582      0.00000      0.00000
    -22.85051      0.71245      0.00000      0.00000
    -22.84051      0.87683      0.00000      0.00000
    -22.83051      0.94082      0.00000      0.00000
    -22.82051      0.90772      0.00000      0.00000
    -22.81051      0.72275      0.00000      0.00000
    -22.80051      0.46319      0.00000      0.00000
    -22.79051      0.35581      0.00000      0.00000
    -22.78051      0.43862      0.00000      0.00000
    -22.77051      0.58744      0.00000      0.00000
    -22.76051      0.63759      0.00000      0.00000
    -22.75051      0.65835      0.00000      0.00000
    -22.74051      0.78723      0.00000      0.00000
    -22.73051      0.95254      0.00000      0.00000
    -22.72051      0.85902      0.00000      0.00000
    -22.71051      0.64679      0.00000      0.00000
    -22.70051      0.59953      0.00000      0.00000
    -22.69051      0.59631      0.00000      0.00000
    -22.68051      0.48111      0.00000      0.00000
    -22.67051      0.41297      0.00000      0.00000
    -22.66051      0.46843      0.00000      0.00000
    -22.65051      0.59886      0.00000      0.00000
    -22.64051      0.93365      0.00000      0.00000
    -22.63051      0.98863      0.00000      0.00000
    -22.62051      0.74874      0.00000      0.00000
    -22.61051      0.56926      0.00000      0.00000
    -22.60051      0.48460      0.00000      0.00000
    -22.59051      0.34662      0.00000      0.00000
    -22.58051      0.26524      0.00000      0.00000
    -22.57051      0.37596      0.00000      0.00000
    -22.56051      0.48644      0.00000      0.00000
    -22.55051      0.55743      0.00000      0.00000
    -22.54051      0.44512      0.00000      0.00000
    -22.53051      0.32475      0.00000      0.00000
    -22.52051      0.47695      0.00000      0.00000
    -22.51051      0.60136      0.00000      0.00000
    -22.50051      0.49000      0.00000      0.00000
    -22.49051      0.41098      0.00000      0.00000
    -22.48051      0.39931      0.00000      0.00000
    -22.47051      0.40711      0.00000      0.00000
    -22.46051      0.68367      0.00000      0.00000
    -22.45051      1.01379      0.00000      0.00000
    -22.44051      1.01528      0.00000      0.00000
    -22.43051      1.12535      0.00000      0.00000
    -22.42051      1.27872      0.00000      0.00000
    -22.41051      1.08555      0.00000      0.00000
    -22.40051      0.71275      0.00000      0.00000
    -22.39051      0.57225      0.00000      0.00000
    -22.38051      0.72907      0.00000      0.00000
    -22.37051      0.95453      0.00000      0.00000
    -22.36051      1.09064      0.00000      0.00000
    -22.35051      1.05699      0.00000      0.00000
    -22.34051      1.15703      0.00000      0.00000
    -22.33051      1.23732      0.00000      0.00000
    -22.32051      0.86701      0.00000      0.00000
    -22.31051      0.38589      0.00000      0.00000
    -22.30051      0.12447      0.00000      0.00000
    -22.29051      0.06518      0.00000      0.00000
    -22.28051      0.07351      0.00000      0.00000
    -22.27051      0.08545      0.00000      0.00000
    -22.26051      0.09252      0.00000      0.00000
    -22.25051      0.22500      0.00000      0.00000
    -22.24051      0.48874      0.00000      0.00000
    -22.23051      0.69167      0.00000      0.00000
    -22.22051      0.74937      0.00000      0.00000
    -22.21051      0.87033      0.00000      0.00000
    -22.20051      0.97420      0.00000      0.00000
    -22.19051      0.78436      0.00000      0.00000
    -22.18051      0.60687      0.00000      0.00000
    -22.17051      0.50838      0.00000      0.00000
    -22.16051      0.38235      0.00000      0.00000
    -22.15051      0.27484      0.00000      0.00000
    -22.14051      0.37115      0.00000      0.00000
    -22.13051      0.83675      0.00000      0.00000
    -22.12051      0.98922      0.00000      0.00000
    -22.11051      0.66303      0.00000      0.00000
    -22.10051      0.48087      0.00000      0.00000
    -22.09051      0.44799      0.00000      0.00000
    -22.08051      0.41543      0.00000      0.00000
    -22.07051      0.70982      0.00000      0.00000
    -22.06051      0.94552      0.00000      0.00000
    -22.05051      0.62551      0.00000      0.00000
    -22.04051      0.42745      0.00000      0.00000
    -22.03051      0.54239      0.00000      0.00000
    -22.02051      0.56415      0.00000      0.00000
    -22.01051      0.53300      0.00000      0.00000
    -22.00051      0.56659      0.00000      0.00000
    -21.99051      0.57498      0.00000      0.00000
    -21.98051      0.69334      0.00000      0.00000
    -21.97051      0.98939      0.00000      0.00000
    -21.96051      0.98208      0.00000      0.00000
    -21.95051      0.73003      0.00000      0.00000
    -21.94051      0.67992      0.00000      0.00000
    -21.93051      0.66782      0.00000      0.00000
    -21.92051      0.61277      0.00000      0.00000
    -21.91051      0.63735      0.00000      0.00000
    -21.90051      0.56719      0.00000      0.00000
    -21.89051      0.39933      0.00000      0.00000
    -21.88051      0.30305      0.00000      0.00000
    -21.87051      0.30147      0.00000      0.00000
    -21.86051      0.38354      0.00000      0.00000
    -21.85051      0.53242      0.00000      0.00000
    -21.84051      0.44543      0.00000      0.00000
    -21.83051      0.20545      0.00000      0.00000
    -21.82051      0.22272      0.00000      0.00000
    -21.81051      0.46238      0.00000      0.00000
    -21.80051      0.64585      0.00000      0.00000
    -21.79051      0.61898      0.00000      0.00000
    -21.78051      0.53466      0.00000      0.00000
    -21.77051      0.57124      0.00000      0.00000
    -21.76051      0.70311      0.00000      0.00000
    -21.75051      0.97147      0.00000      0.00000
    -21.74051      1.02835      0.00000      0.00000
    -21.73051      0.87560      0.00000      0.00000
    -21.72051      0.79527      0.00000      0.00000
    -21.71051      0.61420      0.00000      0.00000
    -21.70051      0.53974      0.00000      0.00000
    -21.69051      0.51405      0.00000      0.00000
    -21.68051      0.45301      0.00000      0.00000
    -21.67051      0.49299      0.00000      0.00000
    -21.66051      0.62269      0.00000      0.00000
    -21.65051      0.77336      0.00000      0.00000
    -21.64051      0.77667      0.00000      0.00000
    -21.63051      0.64146      0.00000      0.00000
    -21.62051      0.51845      0.00000      0.00000
    -21.61051      0.43741      0.00000      0.00000
    -21.60051      0.59539      0.00000      0.00000
    -21.59051      0.84780      0.00000      0.00000
    -21.58051      0.98763      0.00000      0.00000
    -21.57051      0.98691      0.00000      0.00000
    -21.56051      0.90310      0.00000      0.00000
    -21.55051      0.87369      0.00000      0.00000
    -21.54051      0.91991      0.00000      0.00000
    -21.53051      0.81206      0.00000      0.00000
    -21.52051      0.58469      0.00000      0.00000
    -21.51051      0.42687      0.00000      0.00000
    -21.50051      0.44252      0.00000      0.00000
    -21.49051      0.49209      0.00000      0.00000
    -21.48051      0.39260      0.00000      0.00000
    -21.47051      0.29926      0.00000      0.00000
    -21.46051      0.39731      0.00000      0.00000
    -21.45051      0.59272      0.00000      0.00000
    -21.44051      0.72899      0.00000      0.00000
    -21.43051      0.65319      0.00000      0.00000
    -21.42051      0.38749      0.00000      0.00000
    -21.41051      0.28290      0.00000      0.00000
    -21.40051      0.32073      0.00000      0.00000
    -21.39051      0.32404      0.00000      0.00000
    -21.38051      0.41012      0.00000      0.00000
    -21.37051      0.52769      0.00000      0.00000
    -21.36051      0.56335      0.00000      0.00000
    -21.35051      0.57710      0.00000      0.00000
    -21.34051      0.48045      0.00000      0.00000
    -21.33051      0.27013      0.00000      0.00000
    -21.32051      0.13909      0.00000      0.00000
    -21.31051      0.21202      0.00000      0.00000
    -21.30051      0.43953      0.00000      0.00000
    -21.29051      0.63771      0.00000      0.00000
    -21.28051      0.65757      0.00000      0.00000
    -21.27051      0.54672      0.00000      0.00000
    -21.26051      0.61788      0.00000      0.00000
    -21.25051      0.64853      0.00000      0.00000
    -21.24051      0.55012      0.00000      0.00000
    -21.23051      0.50602      0.00000      0.00000
    -21.22051      0.56134      0.00000      0.00000
    -21.21051      0.62235      0.00000      0.00000
    -21.20051      0.63749      0.00000      0.00000
    -21.19051      0.84798      0.00000      0.00000
    -21.18051      1.01789      0.00000      0.00000
    -21.17051      0.67675      0.00000      0.00000
    -21.16051      0.46462      0.00000      0.00000
    -21.15051      0.69588      0.00000      0.00000
    -21.14051      0.74572      0.00000      0.00000
    -21.13051      0.56357      0.00000      0.00000
    -21.12051      0.49100      0.00000      0.00000
    -21.11051      0.67929      0.00000      0.00000
    -21.10051      0.72549      0.00000      0.00000
    -21.09051      0.48428      0.00000      0.00000
    -21.08051      0.45192      0.00000      0.00000
    -21.07051      0.51607      0.00000      0.00000
    -21.06051      0.47607      0.00000      0.00000
    -21.05051      0.50286      0.00000      0.00000
    -21.04051      0.67139      0.00000      0.00000
    -21.03051      0.78831      0.00000      0.00000
    -21.02051      0.63148      0.00000      0.00000
    -21.01051      0.58180      0.00000      0.00000
    -21.00051      0.70439      0.00000      0.00000
    -20.99051      0.83653      0.00000      0.00000
    -20.98051      1.07702      0.00000      0.00000
    -20.97051      1.09684      0.00000      0.00000
    -20.96051      0.80757      0.00000      0.00000
    -20.95051      0.61319      0.00000      0.00000
    -20.94051      0.57145      0.00000      0.00000
    -20.93051      0.41362      0.00000      0.00000
    -20.92051      0.28785      0.00000      0.00000
    -20.91051      0.28018      0.00000      0.00000
    -20.90051      0.37893      0.00000      0.00000
    -20.89051      0.33299      0.00000      0.00000
    -20.88051      0.14536      0.00000      0.00000
    -20.87051      0.15107      0.00000      0.00000
    -20.86051      0.31789      0.00000      0.00000
    -20.85051      0.36702      0.00000      0.00000
    -20.84051      0.37854      0.00000      0.00000
    -20.83051      0.53241      0.00000      0.00000
    -20.82051      0.63630      0.00000      0.00000
    -20.81051      0.59656      0.00000      0.00000
    -20.80051      0.59266      0.00000      0.00000
    -20.79051      0.57045      0.00000      0.00000
    -20.78051      0.54443      0.00000      0.00000
    -20.77051      0.52491      0.00000      0.00000
    -20.76051      0.58886      0.00000      0.00000
    -20.75051      0.69537      0.00000      0.00000
    -20.74051      0.67567      0.00000      0.00000
    -20.73051      0.54191      0.00000      0.00000
    -20.72051      0.56011      0.00000      0.00000
    -20.71051      0.64734      0.00000      0.00000
    -20.70051      0.66076      0.00000      0.00000
    -20.69051      0.71676      0.00000      0.00000
    -20.68051      0.80108      0.00000      0.00000
    -20.67051      0.64941      0.00000      0.00000
    -20.66051      0.37890      0.00000      0.00000
    -20.65051      0.27131      0.00000      0.00000
    -20.64051      0.17627      0.00000      0.00000
    -20.63051      0.15299      0.00000      0.00000
    -20.62051      0.29854      0.00000      0.00000
    -20.61051      0.52371      0.00000      0.00000
    -20.60051      0.69481      0.00000      0.00000
    -20.59051      0.68747      0.00000      0.00000
    -20.58051      0.46621      0.00000      0.00000
    -20.57051      0.18379      0.00000      0.00000
    -20.56051      0.07210      0.00000      0.00000
    -20.55051      0.18745      0.00000      0.00000
    -20.54051      0.45278      0.00000      0.00000
    -20.53051      0.67761      0.00000      0.00000
    -20.52051      0.76980      0.00000      0.00000
    -20.51051      0.73197      0.00000      0.00000
    -20.50051      0.63564      0.00000      0.00000
    -20.49051      0.68719      0.00000      0.00000
    -20.48051      0.93988      0.00000      0.00000
    -20.47051      1.19548      0.00000      0.00000
    -20.46051      1.23572      0.00000      0.00000
    -20.45051      1.20494      0.00000      0.00000
    -20.44051      1.31891      0.00000      0.00000
    -20.43051      1.53707      0.00000      0.00000
    -20.42051      1.40937      0.00000      0.00000
    -20.41051      0.87830      0.00000      0.00000
    -20.40051      0.53626      0.00000      0.00000
    -20.39051      0.44783      0.00000      0.00000
    -20.38051      0.43376      0.00000      0.00000
    -20.37051      0.43567      0.00000      0.00000
    -20.36051      0.32813      0.00000      0.00000
    -20.35051      0.16332      0.00000      0.00000
    -20.34051      0.10937      0.00000      0.00000
    -20.33051      0.22747      0.00000      0.00000
    -20.32051      0.57171      0.00000      0.00000
    -20.31051      0.93360      0.00000      0.00000
    -20.30051      1.02971      0.00000      0.00000
    -20.29051      0.83131      0.00000      0.00000
    -20.28051      0.59256      0.00000      0.00000
    -20.27051      0.37723      0.00000      0.00000
    -20.26051      0.25645      0.00000      0.00000
    -20.25051      0.35348      0.00000      0.00000
    -20.24051      0.43977      0.00000      0.00000
    -20.23051      0.47525      0.00000      0.00000
    -20.22051      0.59104      0.00000      0.00000
    -20.21051      0.54103      0.00000      0.00000
    -20.20051      0.36820      0.00000      0.00000
    -20.19051      0.29977      0.00000      0.00000
    -20.18051      0.36644      0.00000      0.00000
    -20.17051      0.43658      0.00000      0.00000
    -20.16051      0.52857      0.00000      0.00000
    -20.15051      0.75311      0.00000      0.00000
    -20.14051      0.99817      0.00000      0.00000
    -20.13051      0.99114      0.00000      0.00000
    -20.12051      0.78808      0.00000      0.00000
    -20.11051      0.58843      0.00000      0.00000
