Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al P  
     -4.99000      0.35726      0.25073      0.10653
     -4.98000      0.33811      0.23919      0.09892
     -4.97000      0.29392      0.20577      0.08815
     -4.96000      0.37627      0.26315      0.11312
     -4.95000      0.52921      0.37100      0.15821
     -4.94000      0.65283      0.45771      0.19512
     -4.93000      0.68785      0.48357      0.20428
     -4.92000      0.56588      0.39357      0.17231
     -4.91000      0.45362      0.30572      0.14789
     -4.90000      0.51658      0.34398      0.17259
     -4.89000      0.58880      0.39581      0.19299
     -4.88000      0.55437      0.38038      0.17399
     -4.87000      0.53174      0.37122      0.16053
     -4.86000      0.59020      0.40700      0.18320
     -4.85000      0.55977      0.37877      0.18100
     -4.84000      0.46322      0.30854      0.15468
     -4.83000      0.42292      0.27741      0.14551
     -4.82000      0.39564      0.25625      0.13939
     -4.81000      0.56784      0.36958      0.19825
     -4.80000      0.76858      0.50995      0.25863
     -4.79000      0.78206      0.52496      0.25709
     -4.78000      0.83697      0.54932      0.28765
     -4.77000      0.91023      0.57972      0.33051
     -4.76000      0.83903      0.52822      0.31081
     -4.75000      0.77371      0.48401      0.28971
     -4.74000      0.77271      0.48437      0.28834
     -4.73000      0.67226      0.42857      0.24369
     -4.72000      0.73675      0.45989      0.27686
     -4.71000      0.93149      0.56373      0.36776
     -4.70000      0.91476      0.55581      0.35895
     -4.69000      0.88384      0.54102      0.34282
     -4.68000      0.88566      0.54055      0.34511
     -4.67000      0.89907      0.55166      0.34741
     -4.66000      0.95487      0.58302      0.37185
     -4.65000      0.84146      0.51379      0.32767
     -4.64000      0.66178      0.40089      0.26089
     -4.63000      0.67097      0.39117      0.27980
     -4.62000      0.82977      0.47930      0.35047
     -4.61000      1.07950      0.64252      0.43697
     -4.60000      1.18661      0.70140      0.48521
     -4.59000      1.12076      0.63398      0.48678
     -4.58000      1.18427      0.66750      0.51677
     -4.57000      1.27011      0.73902      0.53108
     -4.56000      1.08871      0.63130      0.45741
     -4.55000      1.04744      0.58453      0.46291
