Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al P  
   -154.14942      0.48710      0.17917      0.30907
   -154.13942      0.39218      0.15497      0.23771
   -154.12942      0.30344      0.14340      0.16063
   -154.11942      0.25419      0.12942      0.12527
   -154.10942      0.19118      0.09762      0.09372
   -154.09942      0.13742      0.06873      0.06871
   -154.08942      0.18557      0.08886      0.09672
   -154.07942      0.41838      0.19474      0.22364
   -154.06942      0.49461      0.21887      0.27584
   -154.05942      0.33152      0.13880      0.19411
   -154.04942      0.24044      0.12726      0.12043
   -154.03942      0.22400      0.15437      0.08346
   -154.02942      0.20771      0.12988      0.08754
   -154.01942      0.35491      0.15363      0.20379
   -154.00942      0.47276      0.17865      0.29435
   -153.99942      0.31275      0.11474      0.19803
   -153.98942      0.21373      0.08551      0.12821
   -153.97942      0.27120      0.10852      0.16268
   -153.96942      0.28208      0.12197      0.16010
   -153.95942      0.26650      0.13261      0.13389
   -153.94942      0.28330      0.14077      0.14253
   -153.93942      0.28749      0.13422      0.15327
   -153.92942      0.34667      0.16160      0.18507
   -153.91942      0.49469      0.24632      0.24838
   -153.90942      0.49104      0.24505      0.24598
   -153.89942      0.36501      0.15385      0.21117
   -153.88942      0.33996      0.11526      0.22469
   -153.87942      0.33391      0.10494      0.22899
   -153.86942      0.30639      0.10532      0.20152
   -153.85942      0.31867      0.13052      0.19200
   -153.84942      0.28359      0.12087      0.17480
   -153.83942      0.19966      0.07235      0.14126
   -153.82942      0.15152      0.05307      0.10438
   -153.81942      0.15074      0.06026      0.09140
   -153.80942      0.19177      0.08275      0.10907
   -153.79942      0.26621      0.11763      0.14858
   -153.78942      0.22272      0.09939      0.12332
   -153.77942      0.10273      0.04611      0.05664
   -153.76942      0.11136      0.05118      0.06048
   -153.75942      0.23119      0.11257      0.11996
   -153.74942      0.32293      0.15520      0.16996
   -153.73942      0.30949      0.13903      0.17182
   -153.72942      0.26733      0.11221      0.15543
   -153.71942      0.28562      0.12018      0.16556
   -153.70942      0.35155      0.18565      0.16676
   -153.69942      0.48573      0.31479      0.17373
   -153.68942      0.51417      0.33884      0.17867
   -153.67942      0.43780      0.21840      0.22087
   -153.66942      0.39764      0.13976      0.25818
   -153.65942      0.30710      0.11030      0.19775
   -153.64942      0.26987      0.10813      0.16637
   -153.63942      0.25703      0.10211      0.16354
   -153.62942      0.22651      0.09753      0.13503
   -153.61942      0.24649      0.12147      0.12663
   -153.60942      0.31135      0.15401      0.15750
   -153.59942      0.38668      0.18719      0.19950
   -153.58942      0.38833      0.17722      0.21115
   -153.57942      0.32073      0.15009      0.17074
   -153.56942      0.25922      0.13540      0.12394
   -153.55942      0.21870      0.10815      0.11066
   -153.54942      0.29770      0.11857      0.17924
   -153.53942      0.42390      0.17151      0.25246
   -153.52942      0.49382      0.21509      0.27894
   -153.51942      0.49346      0.20618      0.28915
   -153.50942      0.45155      0.20530      0.25280
   -153.49942      0.43684      0.22512      0.22013
   -153.48942      0.45995      0.21962      0.24430
   -153.47942      0.40603      0.17512      0.23160
   -153.46942      0.29235      0.12456      0.16783
   -153.45942      0.21343      0.09706      0.11637
