Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al P  
     -4.99730      0.71455      0.00000      0.00000
     -4.98730      0.67614      0.00000      0.00000
     -4.97730      0.58787      0.00000      0.00000
     -4.96730      0.75284      0.00000      0.00000
     -4.95730      1.05881      0.00000      0.00000
     -4.94730      1.30578      0.00000      0.00000
     -4.93730      1.37554      0.00000      0.00000
     -4.92730      1.13160      0.00000      0.00000
     -4.91730      0.90738      0.00000      0.00000
     -4.90730      1.03330      0.00000      0.00000
     -4.89730      1.17735      0.00000      0.00000
     -4.88730      1.10856      0.00000      0.00000
     -4.87730      1.06382      0.00000      0.00000
     -4.86730      1.18045      0.00000      0.00000
     -4.85730      1.11916      0.00000      0.00000
     -4.84730      0.92646      0.00000      0.00000
     -4.83730      0.84570      0.00000      0.00000
     -4.82730      0.79160      0.00000      0.00000
     -4.81730      1.13630      0.00000      0.00000
     -4.80730      1.53710      0.00000      0.00000
     -4.79730      1.56437      0.00000      0.00000
     -4.78730      1.67452      0.00000      0.00000
     -4.77730      1.82021      0.00000      0.00000
     -4.76730      1.67769      0.00000      0.00000
     -4.75730      1.54761      0.00000      0.00000
     -4.74730      1.54489      0.00000      0.00000
     -4.73730      1.34461      0.00000      0.00000
     -4.72730      1.47450      0.00000      0.00000
     -4.71730      1.86285      0.00000      0.00000
     -4.70730      1.82927      0.00000      0.00000
     -4.69730      1.76784      0.00000      0.00000
     -4.68730      1.77125      0.00000      0.00000
     -4.67730      1.79866      0.00000      0.00000
     -4.66730      1.90948      0.00000      0.00000
     -4.65730      1.68218      0.00000      0.00000
     -4.64730      1.32407      0.00000      0.00000
     -4.63730      1.34255      0.00000      0.00000
     -4.62730      1.65928      0.00000      0.00000
     -4.61730      2.15975      0.00000      0.00000
     -4.60730      2.37400      0.00000      0.00000
     -4.59730      2.24127      0.00000      0.00000
     -4.58730      2.36849      0.00000      0.00000
     -4.57730      2.53998      0.00000      0.00000
     -4.56730      2.17695      0.00000      0.00000
     -4.55730      2.09613      0.00000      0.00000
     -4.54730      2.73161      0.00000      0.00000
     -4.53730      2.96893      0.00000      0.00000
     -4.52730      2.59895      0.00000      0.00000
     -4.51730      2.54728      0.00000      0.00000
     -4.50730      2.93670      0.00000      0.00000
     -4.49730      3.25436      0.00000      0.00000
     -4.48730      3.17863      0.00000      0.00000
     -4.47730      2.93020      0.00000      0.00000
     -4.46730      2.58138      0.00000      0.00000
     -4.45730      2.31464      0.00000      0.00000
     -4.44730      2.74541      0.00000      0.00000
     -4.43730      3.40753      0.00000      0.00000
     -4.42730      3.48223      0.00000      0.00000
     -4.41730      3.63465      0.00000      0.00000
     -4.40730      3.94331      0.00000      0.00000
     -4.39730      3.80126      0.00000      0.00000
     -4.38730      3.83600      0.00000      0.00000
     -4.37730      4.05140      0.00000      0.00000
     -4.36730      4.02301      0.00000      0.00000
     -4.35730      3.99018      0.00000      0.00000
     -4.34730      3.99731      0.00000      0.00000
     -4.33730      4.00381      0.00000      0.00000
     -4.32730      4.03731      0.00000      0.00000
     -4.31730      4.08724      0.00000      0.00000
     -4.30730      4.43991      0.00000      0.00000
     -4.29730      4.86197      0.00000      0.00000
     -4.28730      4.80985      0.00000      0.00000
     -4.27730      4.40969      0.00000      0.00000
     -4.26730      3.97370      0.00000      0.00000
     -4.25730      3.98852      0.00000      0.00000
     -4.24730      4.81840      0.00000      0.00000
     -4.23730      5.30990      0.00000      0.00000
     -4.22730      4.98626      0.00000      0.00000
     -4.21730      4.55932      0.00000      0.00000
     -4.20730      4.41864      0.00000      0.00000
     -4.19730      4.88716      0.00000      0.00000
     -4.18730      5.74323      0.00000      0.00000
     -4.17730      5.62053      0.00000      0.00000
     -4.16730      4.79214      0.00000      0.00000
     -4.15730      4.70029      0.00000      0.00000
     -4.14730      4.63139      0.00000      0.00000
     -4.13730      3.95725      0.00000      0.00000
     -4.12730      3.39438      0.00000      0.00000
     -4.11730      3.79218      0.00000      0.00000
     -4.10730      4.27009      0.00000      0.00000
     -4.09730      3.74104      0.00000      0.00000
     -4.08730      3.09824      0.00000      0.00000
     -4.07730      2.85301      0.00000      0.00000
     -4.06730      2.74473      0.00000      0.00000
