Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al Sb 
     -7.98668      1.67262      0.00000      0.00000
     -7.97668      1.68112      0.00000      0.00000
     -7.96668      1.74523      0.00000      0.00000
     -7.95668      2.08353      0.00000      0.00000
     -7.94668      2.45719      0.00000      0.00000
     -7.93668      2.47787      0.00000      0.00000
     -7.92668      2.17431      0.00000      0.00000
     -7.91668      1.82983      0.00000      0.00000
     -7.90668      1.76675      0.00000      0.00000
     -7.89668      1.60938      0.00000      0.00000
     -7.88668      1.20539      0.00000      0.00000
     -7.87668      1.09537      0.00000      0.00000
     -7.86668      1.19846      0.00000      0.00000
     -7.85668      1.66006      0.00000      0.00000
     -7.84668      1.86064      0.00000      0.00000
     -7.83668      1.71667      0.00000      0.00000
     -7.82668      1.59096      0.00000      0.00000
     -7.81668      1.12490      0.00000      0.00000
     -7.80668      0.93086      0.00000      0.00000
     -7.79668      1.41779      0.00000      0.00000
     -7.78668      2.07578      0.00000      0.00000
     -7.77668      2.11124      0.00000      0.00000
     -7.76668      2.11020      0.00000      0.00000
     -7.75668      2.49731      0.00000      0.00000
     -7.74668      2.49043      0.00000      0.00000
     -7.73668      2.31976      0.00000      0.00000
     -7.72668      2.13727      0.00000      0.00000
     -7.71668      1.84220      0.00000      0.00000
     -7.70668      1.68078      0.00000      0.00000
     -7.69668      1.65821      0.00000      0.00000
     -7.68668      1.68466      0.00000      0.00000
     -7.67668      1.71426      0.00000      0.00000
     -7.66668      1.57800      0.00000      0.00000
     -7.65668      1.64646      0.00000      0.00000
     -7.64668      2.19038      0.00000      0.00000
     -7.63668      2.33661      0.00000      0.00000
     -7.62668      1.98140      0.00000      0.00000
     -7.61668      2.11143      0.00000      0.00000
     -7.60668      2.64877      0.00000      0.00000
     -7.59668      2.81372      0.00000      0.00000
     -7.58668      2.43622      0.00000      0.00000
     -7.57668      2.22552      0.00000      0.00000
     -7.56668      2.16618      0.00000      0.00000
     -7.55668      1.81719      0.00000      0.00000
     -7.54668      1.88566      0.00000      0.00000
     -7.53668      1.99117      0.00000      0.00000
     -7.52668      1.83205      0.00000      0.00000
     -7.51668      1.57670      0.00000      0.00000
     -7.50668      1.33936      0.00000      0.00000
     -7.49668      1.28004      0.00000      0.00000
     -7.48668      1.46010      0.00000      0.00000
     -7.47668      1.94520      0.00000      0.00000
     -7.46668      2.23945      0.00000      0.00000
     -7.45668      2.04577      0.00000      0.00000
     -7.44668      2.00677      0.00000      0.00000
     -7.43668      2.29914      0.00000      0.00000
     -7.42668      2.12194      0.00000      0.00000
     -7.41668      1.66574      0.00000      0.00000
     -7.40668      1.65564      0.00000      0.00000
     -7.39668      1.78572      0.00000      0.00000
     -7.38668      1.93207      0.00000      0.00000
     -7.37668      1.90835      0.00000      0.00000
     -7.36668      1.87026      0.00000      0.00000
     -7.35668      1.97625      0.00000      0.00000
     -7.34668      1.91327      0.00000      0.00000
     -7.33668      1.70168      0.00000      0.00000
     -7.32668      1.88426      0.00000      0.00000
     -7.31668      2.15603      0.00000      0.00000
     -7.30668      1.79259      0.00000      0.00000
     -7.29668      1.61467      0.00000      0.00000
     -7.28668      1.90749      0.00000      0.00000
     -7.27668      2.05482      0.00000      0.00000
     -7.26668      1.83605      0.00000      0.00000
     -7.25668      1.33876      0.00000      0.00000
     -7.24668      1.13584      0.00000      0.00000
     -7.23668      1.25549      0.00000      0.00000
     -7.22668      1.42310      0.00000      0.00000
     -7.21668      1.54776      0.00000      0.00000
     -7.20668      1.63884      0.00000      0.00000
     -7.19668      1.83059      0.00000      0.00000
     -7.18668      1.99666      0.00000      0.00000
     -7.17668      1.82752      0.00000      0.00000
     -7.16668      1.91163      0.00000      0.00000
     -7.15668      2.16042      0.00000      0.00000
     -7.14668      1.85993      0.00000      0.00000
     -7.13668      1.47455      0.00000      0.00000
     -7.12668      1.33669      0.00000      0.00000
     -7.11668      1.28945      0.00000      0.00000
     -7.10668      1.23919      0.00000      0.00000
     -7.09668      0.95427      0.00000      0.00000
     -7.08668      0.83955      0.00000      0.00000
     -7.07668      1.20560      0.00000      0.00000
     -7.06668      1.28643      0.00000      0.00000
     -7.05668      0.99044      0.00000      0.00000
     -7.04668      0.88950      0.00000      0.00000
     -7.03668      1.09905      0.00000      0.00000
     -7.02668      1.26230      0.00000      0.00000
     -7.01668      1.22906      0.00000      0.00000
     -7.00668      1.43556      0.00000      0.00000
     -6.99668      1.69245      0.00000      0.00000
     -6.98668      1.68048      0.00000      0.00000
     -6.97668      1.68293      0.00000      0.00000
     -6.96668      1.61584      0.00000      0.00000
     -6.95668      1.17010      0.00000      0.00000
     -6.94668      0.70736      0.00000      0.00000
     -6.93668      0.67793      0.00000      0.00000
     -6.92668      0.71087      0.00000      0.00000
     -6.91668      0.90732      0.00000      0.00000
     -6.90668      1.43408      0.00000      0.00000
     -6.89668      1.82975      0.00000      0.00000
     -6.88668      2.10436      0.00000      0.00000
     -6.87668      2.00288      0.00000      0.00000
     -6.86668      1.53810      0.00000      0.00000
     -6.85668      1.24226      0.00000      0.00000
     -6.84668      1.20142      0.00000      0.00000
     -6.83668      1.45513      0.00000      0.00000
     -6.82668      1.89852      0.00000      0.00000
     -6.81668      2.33749      0.00000      0.00000
     -6.80668      2.27976      0.00000      0.00000
     -6.79668      1.78131      0.00000      0.00000
     -6.78668      1.38354      0.00000      0.00000
     -6.77668      1.32831      0.00000      0.00000
     -6.76668      1.46195      0.00000      0.00000
     -6.75668      1.56721      0.00000      0.00000
     -6.74668      1.36216      0.00000      0.00000
     -6.73668      0.99907      0.00000      0.00000
     -6.72668      0.91428      0.00000      0.00000
     -6.71668      1.09847      0.00000      0.00000
     -6.70668      1.25865      0.00000      0.00000
     -6.69668      1.27058      0.00000      0.00000
     -6.68668      1.45049      0.00000      0.00000
     -6.67668      1.67431      0.00000      0.00000
     -6.66668      1.77656      0.00000      0.00000
     -6.65668      1.88439      0.00000      0.00000
     -6.64668      2.06318      0.00000      0.00000
     -6.63668      1.97194      0.00000      0.00000
     -6.62668      1.60123      0.00000      0.00000
     -6.61668      1.45742      0.00000      0.00000
     -6.60668      1.15155      0.00000      0.00000
     -6.59668      0.68875      0.00000      0.00000
     -6.58668      0.67474      0.00000      0.00000
     -6.57668      0.92208      0.00000      0.00000
     -6.56668      0.99028      0.00000      0.00000
     -6.55668      1.16754      0.00000      0.00000
     -6.54668      1.32779      0.00000      0.00000
     -6.53668      1.23860      0.00000      0.00000
     -6.52668      1.16790      0.00000      0.00000
     -6.51668      1.00834      0.00000      0.00000
     -6.50668      0.80087      0.00000      0.00000
     -6.49668      0.79785      0.00000      0.00000
     -6.48668      0.93873      0.00000      0.00000
     -6.47668      1.06283      0.00000      0.00000
     -6.46668      1.04712      0.00000      0.00000
     -6.45668      1.11417      0.00000      0.00000
     -6.44668      1.09735      0.00000      0.00000
     -6.43668      0.98650      0.00000      0.00000
     -6.42668      1.06777      0.00000      0.00000
     -6.41668      1.14872      0.00000      0.00000
     -6.40668      0.89395      0.00000      0.00000
     -6.39668      0.80649      0.00000      0.00000
     -6.38668      1.00657      0.00000      0.00000
     -6.37668      1.38118      0.00000      0.00000
     -6.36668      1.57566      0.00000      0.00000
     -6.35668      1.40871      0.00000      0.00000
     -6.34668      1.58878      0.00000      0.00000
     -6.33668      1.77395      0.00000      0.00000
     -6.32668      1.39362      0.00000      0.00000
     -6.31668      0.89383      0.00000      0.00000
