Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al Sb 
    -14.79236      0.83631      0.49241      0.34389
    -14.78236      0.84056      0.49151      0.34905
    -14.77236      0.87261      0.51247      0.36015
    -14.76236      1.04177      0.62290      0.41886
    -14.75236      1.22860      0.72564      0.50295
    -14.74236      1.23893      0.72385      0.51508
    -14.73236      1.08715      0.63978      0.44738
    -14.72236      0.91492      0.53329      0.38163
    -14.71236      0.88337      0.51307      0.37031
    -14.70236      0.80469      0.47166      0.33303
    -14.69236      0.60270      0.35935      0.24335
    -14.68236      0.54769      0.32541      0.22228
    -14.67236      0.59923      0.34636      0.25286
    -14.66236      0.83003      0.47175      0.35828
    -14.65236      0.93032      0.52463      0.40570
    -14.64236      0.85834      0.49440      0.36394
    -14.63236      0.79548      0.47724      0.31824
    -14.62236      0.56245      0.34564      0.21680
    -14.61236      0.46543      0.28399      0.18144
    -14.60236      0.70889      0.42273      0.28616
    -14.59236      1.03789      0.62438      0.41351
    -14.58236      1.05562      0.64342      0.41220
    -14.57236      1.05510      0.63895      0.41615
    -14.56236      1.24866      0.75108      0.49757
    -14.55236      1.24521      0.74497      0.50024
    -14.54236      1.15988      0.67464      0.48524
    -14.53236      1.06863      0.60277      0.46587
    -14.52236      0.92110      0.51070      0.41045
    -14.51236      0.84039      0.47594      0.36486
    -14.50236      0.82910      0.48801      0.34227
    -14.49236      0.84233      0.50073      0.34285
    -14.48236      0.85713      0.51074      0.34688
    -14.47236      0.78900      0.47933      0.30974
    -14.46236      0.82323      0.49275      0.33048
    -14.45236      1.09519      0.62979      0.46540
    -14.44236      1.16831      0.66974      0.49857
    -14.43236      0.99070      0.58444      0.40626
    -14.42236      1.05571      0.63818      0.41753
    -14.41236      1.32438      0.78267      0.54171
    -14.40236      1.40686      0.79751      0.60934
    -14.39236      1.21811      0.67884      0.53927
    -14.38236      1.11276      0.63029      0.48247
    -14.37236      1.08309      0.62598      0.45711
    -14.36236      0.90860      0.53858      0.37001
    -14.35236      0.94283      0.57838      0.36445
    -14.34236      0.99559      0.62201      0.37357
    -14.33236      0.91603      0.55458      0.36145
    -14.32236      0.78835      0.45623      0.33212
    -14.31236      0.66968      0.38719      0.28249
    -14.30236      0.64002      0.36861      0.27141
    -14.29236      0.73005      0.41125      0.31880
    -14.28236      0.97260      0.54054      0.43205
    -14.27236      1.11972      0.61758      0.50215
    -14.26236      1.02289      0.57597      0.44691
    -14.25236      1.00339      0.59594      0.40744
    -14.24236      1.14957      0.68544      0.46413
    -14.23236      1.06097      0.62416      0.43681
    -14.22236      0.83287      0.48963      0.34324
    -14.21236      0.82782      0.48823      0.33959
    -14.20236      0.89286      0.52182      0.37104
    -14.19236      0.96604      0.55510      0.41094
    -14.18236      0.95417      0.54353      0.41064
    -14.17236      0.93513      0.54152      0.39361
    -14.16236      0.98812      0.59105      0.39708
    -14.15236      0.95664      0.57695      0.37968
    -14.14236      0.85084      0.50024      0.35060
    -14.13236      0.94213      0.54108      0.40105
    -14.12236      1.07802      0.61564      0.46238
    -14.11236      0.89630      0.52315      0.37314
    -14.10236      0.80733      0.49067      0.31667
    -14.09236      0.95375      0.56759      0.38616
    -14.08236      1.02741      0.56896      0.45845
    -14.07236      0.91803      0.47909      0.43894
    -14.06236      0.66938      0.34576      0.32362
    -14.05236      0.56792      0.28667      0.28125
    -14.04236      0.62775      0.32417      0.30358
    -14.03236      0.71155      0.37928      0.33227
    -14.02236      0.77388      0.40292      0.37096
    -14.01236      0.81942      0.42010      0.39932
    -14.00236      0.91530      0.46456      0.45073
    -13.99236      0.99833      0.51134      0.48699
    -13.98236      0.91376      0.47921      0.43455
    -13.97236      0.95582      0.51530      0.44052
    -13.96236      1.08021      0.58904      0.49117
    -13.95236      0.92996      0.52339      0.40658
    -13.94236      0.73728      0.43002      0.30726
    -13.93236      0.66834      0.37677      0.29158
    -13.92236      0.64473      0.33660      0.30812
    -13.91236      0.61959      0.30801      0.31158
    -13.90236      0.47714      0.24157      0.23557
    -13.89236      0.41977      0.22590      0.19387
    -13.88236      0.60280      0.33210      0.27070
    -13.87236      0.64321      0.35358      0.28964
    -13.86236      0.49522      0.27491      0.22031
    -13.85236      0.44475      0.24926      0.19549
    -13.84236      0.54952      0.29747      0.25206
    -13.83236      0.63115      0.33106      0.30009
    -13.82236      0.61453      0.32514      0.28939
    -13.81236      0.71778      0.37973      0.33805
    -13.80236      0.84623      0.45467      0.39156
    -13.79236      0.84024      0.46949      0.37075
    -13.78236      0.84147      0.46767      0.37379
    -13.77236      0.80792      0.43077      0.37714
    -13.76236      0.58505      0.30821      0.27684
    -13.75236      0.35368      0.20221      0.15147
    -13.74236      0.33896      0.21682      0.12214
    -13.73236      0.35543      0.22310      0.13233
    -13.72236      0.45366      0.24545      0.20821
    -13.71236      0.71704      0.35631      0.36073
    -13.70236      0.91487      0.45688      0.45799
    -13.69236      1.05218      0.53979      0.51239
    -13.68236      1.00144      0.53687      0.46457
    -13.67236      0.76905      0.43741      0.33164
    -13.66236      0.62113      0.35257      0.26857
    -13.65236      0.60071      0.31610      0.28461
    -13.64236      0.72756      0.36168      0.36589
    -13.63236      0.94926      0.48359      0.46567
    -13.62236      1.16874      0.62305      0.54569
    -13.61236      1.13988      0.61068      0.52920
    -13.60236      0.89065      0.46915      0.42150
    -13.59236      0.69177      0.35387      0.33790
    -13.58236      0.66415      0.32520      0.33895
    -13.57236      0.73097      0.36139      0.36958
    -13.56236      0.78360      0.39945      0.38416
    -13.55236      0.68108      0.34445      0.33663
    -13.54236      0.49954      0.24021      0.25933
    -13.53236      0.45714      0.21283      0.24431
    -13.52236      0.54923      0.26864      0.28059
    -13.51236      0.62933      0.31598      0.31335
    -13.50236      0.63529      0.30908      0.32621
    -13.49236      0.72525      0.34730      0.37795
    -13.48236      0.83715      0.40296      0.43421
    -13.47236      0.88828      0.40790      0.48060
    -13.46236      0.94220      0.43019      0.51396
    -13.45236      1.03159      0.48092      0.55698
    -13.44236      0.98597      0.44833      0.54531
    -13.43236      0.80061      0.35116      0.45404
    -13.42236      0.72871      0.29904      0.43388
    -13.41236      0.57577      0.23040      0.34924
    -13.40236      0.34438      0.16045      0.18540
    -13.39236      0.33737      0.17561      0.16197
    -13.38236      0.46104      0.22272      0.23833
    -13.37236      0.49514      0.22435      0.27079
    -13.36236      0.58377      0.25882      0.32495
    -13.35236      0.66390      0.30521      0.35869
    -13.34236      0.61930      0.31943      0.29988
    -13.33236      0.58395      0.32979      0.25416
    -13.32236      0.50417      0.27778      0.22639
    -13.31236      0.40044      0.20629      0.19414
    -13.30236      0.39892      0.20431      0.19462
    -13.29236      0.46937      0.24203      0.22734
    -13.28236      0.53141      0.26963      0.26178
    -13.27236      0.52356      0.26454      0.25902
    -13.26236      0.55709      0.28310      0.27399
    -13.25236      0.54868      0.27249      0.27618
    -13.24236      0.49325      0.22786      0.26539
    -13.23236      0.53388      0.22549      0.30839
    -13.22236      0.57436      0.23795      0.33641
    -13.21236      0.44698      0.19358      0.25340
    -13.20236      0.40325      0.19660      0.20665
    -13.19236      0.50328      0.25529      0.24799
    -13.18236      0.69059      0.35478      0.33581
    -13.17236      0.78783      0.40236      0.38547
    -13.16236      0.70436      0.35183      0.35252
    -13.15236      0.79439      0.40328      0.39111
    -13.14236      0.88697      0.46199      0.42499
    -13.13236      0.69681      0.35399      0.34282
    -13.12236      0.44692      0.19846      0.24846
    -13.11236      0.44790      0.17939      0.26859
    -13.10236      0.55469      0.23741      0.31868
    -13.09236      0.69851      0.31719      0.38967
    -13.08236      0.90897      0.41608      0.51124
    -13.07236      0.99152      0.46761      0.53874
    -13.06236      0.90346      0.44321      0.46466
    -13.05236      0.85148      0.41791      0.43405
    -13.04236      1.00564      0.49072      0.51494
    -13.03236      1.17728      0.57718      0.60009
    -13.02236      1.33037      0.63514      0.69523
    -13.01236      1.51494      0.69296      0.82198
    -13.00236      1.38192      0.60887      0.77305
    -12.99236      0.99877      0.43726      0.56151
    -12.98236      0.70232      0.32445      0.37787
    -12.97236      0.49351      0.23469      0.25882
    -12.96236      0.43685      0.19161      0.24524
    -12.95236      0.57507      0.24810      0.32697
    -12.94236      0.76649      0.34868      0.41781
    -12.93236      0.79060      0.38099      0.40960
    -12.92236      0.73626      0.36737      0.36889
    -12.91236      0.85417      0.41143      0.44274
    -12.90236      1.05390      0.49359      0.56031
    -12.89236      1.06611      0.50587      0.56024
    -12.88236      0.95233      0.46074      0.49160
    -12.87236      0.86597      0.42452      0.44145
    -12.86236      0.91030      0.45170      0.45860
    -12.85236      0.93331      0.46812      0.46518
    -12.84236      0.88762      0.42746      0.46017
    -12.83236      1.01477      0.47051      0.54426
    -12.82236      1.13738      0.54799      0.58939
    -12.81236      0.93552      0.45362      0.48190
    -12.80236      0.66966      0.31170      0.35796
    -12.79236      0.73329      0.34804      0.38525
    -12.78236      1.01957      0.49382      0.52574
    -12.77236      1.21976      0.59045      0.62931
    -12.76236      1.23202      0.61405      0.61797
    -12.75236      1.16063      0.59644      0.56419
    -12.74236      1.22701      0.62955      0.59746
