Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al Sb 
     -3.64052      2.93469      0.00000      0.00000
     -3.63052      2.66629      0.00000      0.00000
     -3.62052      2.88914      0.00000      0.00000
     -3.61052      3.26995      0.00000      0.00000
     -3.60052      2.96549      0.00000      0.00000
     -3.59052      2.42345      0.00000      0.00000
     -3.58052      2.07091      0.00000      0.00000
     -3.57052      1.99046      0.00000      0.00000
     -3.56052      2.00334      0.00000      0.00000
     -3.55052      1.92759      0.00000      0.00000
     -3.54052      1.69583      0.00000      0.00000
     -3.53052      1.54006      0.00000      0.00000
     -3.52052      1.53388      0.00000      0.00000
     -3.51052      1.73013      0.00000      0.00000
     -3.50052      2.08861      0.00000      0.00000
     -3.49052      2.17166      0.00000      0.00000
     -3.48052      1.69427      0.00000      0.00000
     -3.47052      1.06198      0.00000      0.00000
     -3.46052      0.82163      0.00000      0.00000
     -3.45052      1.05094      0.00000      0.00000
     -3.44052      1.57164      0.00000      0.00000
     -3.43052      1.83680      0.00000      0.00000
     -3.42052      1.66281      0.00000      0.00000
     -3.41052      1.24079      0.00000      0.00000
     -3.40052      0.96692      0.00000      0.00000
     -3.39052      1.05831      0.00000      0.00000
     -3.38052      1.36175      0.00000      0.00000
     -3.37052      1.64679      0.00000      0.00000
     -3.36052      1.94994      0.00000      0.00000
     -3.35052      2.16003      0.00000      0.00000
     -3.34052      1.87189      0.00000      0.00000
     -3.33052      1.73920      0.00000      0.00000
     -3.32052      1.98233      0.00000      0.00000
     -3.31052      1.98372      0.00000      0.00000
     -3.30052      1.99811      0.00000      0.00000
     -3.29052      2.06570      0.00000      0.00000
     -3.28052      1.94097      0.00000      0.00000
     -3.27052      1.76862      0.00000      0.00000
     -3.26052      1.60821      0.00000      0.00000
     -3.25052      1.48986      0.00000      0.00000
     -3.24052      1.43360      0.00000      0.00000
     -3.23052      1.46812      0.00000      0.00000
     -3.22052      1.58053      0.00000      0.00000
     -3.21052      1.64380      0.00000      0.00000
     -3.20052      1.76256      0.00000      0.00000
     -3.19052      2.06293      0.00000      0.00000
     -3.18052      2.27325      0.00000      0.00000
     -3.17052      2.16849      0.00000      0.00000
     -3.16052      1.68388      0.00000      0.00000
     -3.15052      1.40680      0.00000      0.00000
     -3.14052      1.73847      0.00000      0.00000
     -3.13052      2.23597      0.00000      0.00000
     -3.12052      2.53770      0.00000      0.00000
     -3.11052      2.61379      0.00000      0.00000
     -3.10052      2.37150      0.00000      0.00000
     -3.09052      2.11291      0.00000      0.00000
     -3.08052      1.81089      0.00000      0.00000
     -3.07052      1.65914      0.00000      0.00000
     -3.06052      1.87436      0.00000      0.00000
     -3.05052      2.11980      0.00000      0.00000
     -3.04052      2.18305      0.00000      0.00000
     -3.03052      2.21878      0.00000      0.00000
     -3.02052      2.17256      0.00000      0.00000
     -3.01052      1.88340      0.00000      0.00000
     -3.00052      1.62672      0.00000      0.00000
     -2.99052      1.69484      0.00000      0.00000
     -2.98052      1.92648      0.00000      0.00000
     -2.97052      2.05850      0.00000      0.00000
     -2.96052      2.20840      0.00000      0.00000
     -2.95052      2.26145      0.00000      0.00000
     -2.94052      2.00342      0.00000      0.00000
     -2.93052      1.70847      0.00000      0.00000
     -2.92052      1.67340      0.00000      0.00000
     -2.91052      1.90517      0.00000      0.00000
     -2.90052      2.17444      0.00000      0.00000
     -2.89052      2.44749      0.00000      0.00000
     -2.88052      2.51212      0.00000      0.00000
     -2.87052      2.44225      0.00000      0.00000
     -2.86052      2.47568      0.00000      0.00000
     -2.85052      2.70830      0.00000      0.00000
     -2.84052      2.86307      0.00000      0.00000
     -2.83052      2.56174      0.00000      0.00000
     -2.82052      2.33236      0.00000      0.00000
     -2.81052      1.96512      0.00000      0.00000
     -2.80052      1.55699      0.00000      0.00000
     -2.79052      1.52830      0.00000      0.00000
     -2.78052      1.93221      0.00000      0.00000
     -2.77052      2.40151      0.00000      0.00000
     -2.76052      2.54392      0.00000      0.00000
     -2.75052      2.43010      0.00000      0.00000
     -2.74052      2.12967      0.00000      0.00000
     -2.73052      1.87940      0.00000      0.00000
     -2.72052      1.84660      0.00000      0.00000
     -2.71052      2.08420      0.00000      0.00000
     -2.70052      2.27814      0.00000      0.00000
     -2.69052      2.37879      0.00000      0.00000
     -2.68052      2.61365      0.00000      0.00000
     -2.67052      2.51484      0.00000      0.00000
     -2.66052      2.15357      0.00000      0.00000
     -2.65052      2.17400      0.00000      0.00000
     -2.64052      2.35895      0.00000      0.00000
     -2.63052      2.35399      0.00000      0.00000
     -2.62052      2.27531      0.00000      0.00000
     -2.61052      2.30588      0.00000      0.00000
     -2.60052      2.34481      0.00000      0.00000
     -2.59052      2.26798      0.00000      0.00000
     -2.58052      2.05145      0.00000      0.00000
     -2.57052      1.96524      0.00000      0.00000
     -2.56052      2.16136      0.00000      0.00000
     -2.55052      2.27148      0.00000      0.00000
     -2.54052      2.06959      0.00000      0.00000
     -2.53052      1.74578      0.00000      0.00000
     -2.52052      1.85195      0.00000      0.00000
     -2.51052      2.41032      0.00000      0.00000
     -2.50052      2.86165      0.00000      0.00000
     -2.49052      2.76728      0.00000      0.00000
     -2.48052      2.41628      0.00000      0.00000
     -2.47052      2.43503      0.00000      0.00000
     -2.46052      2.60376      0.00000      0.00000
     -2.45052      2.66548      0.00000      0.00000
     -2.44052      2.86742      0.00000      0.00000
     -2.43052      2.80291      0.00000      0.00000
     -2.42052      2.39685      0.00000      0.00000
     -2.41052      2.32093      0.00000      0.00000
     -2.40052      2.19843      0.00000      0.00000
     -2.39052      1.82210      0.00000      0.00000
     -2.38052      1.59456      0.00000      0.00000
     -2.37052      1.50879      0.00000      0.00000
     -2.36052      1.55843      0.00000      0.00000
     -2.35052      1.90626      0.00000      0.00000
     -2.34052      2.49272      0.00000      0.00000
     -2.33052      2.73000      0.00000      0.00000
     -2.32052      2.66250      0.00000      0.00000
     -2.31052      2.51894      0.00000      0.00000
     -2.30052      2.43803      0.00000      0.00000
     -2.29052      2.54677      0.00000      0.00000
     -2.28052      2.53666      0.00000      0.00000
     -2.27052      2.73806      0.00000      0.00000
     -2.26052      3.00337      0.00000      0.00000
     -2.25052      2.91529      0.00000      0.00000
     -2.24052      2.74227      0.00000      0.00000
     -2.23052      2.80031      0.00000      0.00000
     -2.22052      2.96225      0.00000      0.00000
     -2.21052      3.08119      0.00000      0.00000
     -2.20052      3.10535      0.00000      0.00000
     -2.19052      2.95044      0.00000      0.00000
     -2.18052      2.51815      0.00000      0.00000
     -2.17052      2.12981      0.00000      0.00000
     -2.16052      2.13160      0.00000      0.00000
     -2.15052      2.38303      0.00000      0.00000
     -2.14052      2.45798      0.00000      0.00000
     -2.13052      2.27138      0.00000      0.00000
     -2.12052      2.43232      0.00000      0.00000
     -2.11052      3.05167      0.00000      0.00000
     -2.10052      3.20407      0.00000      0.00000
     -2.09052      2.77677      0.00000      0.00000
     -2.08052      2.61288      0.00000      0.00000
     -2.07052      2.75547      0.00000      0.00000
     -2.06052      2.83277      0.00000      0.00000
     -2.05052      2.55112      0.00000      0.00000
     -2.04052      2.41496      0.00000      0.00000
     -2.03052      2.93146      0.00000      0.00000
     -2.02052      3.67593      0.00000      0.00000
     -2.01052      3.91377      0.00000      0.00000
     -2.00052      3.51625      0.00000      0.00000
     -1.99052      3.03031      0.00000      0.00000
     -1.98052      2.66073      0.00000      0.00000
     -1.97052      2.91287      0.00000      0.00000
     -1.96052      3.48425      0.00000      0.00000
     -1.95052      3.39211      0.00000      0.00000
     -1.94052      3.16868      0.00000      0.00000
     -1.93052      3.43908      0.00000      0.00000
     -1.92052      3.48262      0.00000      0.00000
     -1.91052      2.89311      0.00000      0.00000
     -1.90052      2.33841      0.00000      0.00000
     -1.89052      2.48247      0.00000      0.00000
     -1.88052      3.03835      0.00000      0.00000
     -1.87052      3.21056      0.00000      0.00000
     -1.86052      3.01962      0.00000      0.00000
     -1.85052      2.90106      0.00000      0.00000
     -1.84052      2.81238      0.00000      0.00000
     -1.83052      2.76403      0.00000      0.00000
     -1.82052      2.76547      0.00000      0.00000
     -1.81052      2.88274      0.00000      0.00000
     -1.80052      3.01458      0.00000      0.00000
     -1.79052      2.98242      0.00000      0.00000
     -1.78052      3.30202      0.00000      0.00000
     -1.77052      3.72820      0.00000      0.00000
     -1.76052      3.73022      0.00000      0.00000
     -1.75052      3.32875      0.00000      0.00000
     -1.74052      2.94584      0.00000      0.00000
     -1.73052      2.95826      0.00000      0.00000
     -1.72052      3.14800      0.00000      0.00000
     -1.71052      3.09207      0.00000      0.00000
     -1.70052      3.07699      0.00000      0.00000
     -1.69052      3.39205      0.00000      0.00000
     -1.68052      3.50133      0.00000      0.00000
     -1.67052      3.21826      0.00000      0.00000
     -1.66052      3.21063      0.00000      0.00000
     -1.65052      3.31862      0.00000      0.00000
     -1.64052      3.17395      0.00000      0.00000
     -1.63052      3.23753      0.00000      0.00000
     -1.62052      3.39890      0.00000      0.00000
     -1.61052      3.32698      0.00000      0.00000
     -1.60052      3.19420      0.00000      0.00000
     -1.59052      3.09515      0.00000      0.00000
     -1.58052      3.36421      0.00000      0.00000
     -1.57052      4.12037      0.00000      0.00000
     -1.56052      4.16683      0.00000      0.00000
     -1.55052      3.31074      0.00000      0.00000
     -1.54052      2.98073      0.00000      0.00000
     -1.53052      3.24462      0.00000      0.00000
     -1.52052      3.41267      0.00000      0.00000
     -1.51052      3.47142      0.00000      0.00000
     -1.50052      3.39065      0.00000      0.00000
     -1.49052      3.22234      0.00000      0.00000
     -1.48052      3.42650      0.00000      0.00000
     -1.47052      3.73151      0.00000      0.00000
     -1.46052      3.67689      0.00000      0.00000
     -1.45052      3.48454      0.00000      0.00000
     -1.44052      3.54993      0.00000      0.00000
     -1.43052      4.15342      0.00000      0.00000
     -1.42052      4.59724      0.00000      0.00000
     -1.41052      4.47680      0.00000      0.00000
     -1.40052      4.33572      0.00000      0.00000
     -1.39052      4.33345      0.00000      0.00000
     -1.38052      4.35681      0.00000      0.00000
     -1.37052      4.20072      0.00000      0.00000
     -1.36052      3.96978      0.00000      0.00000
