Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al Sb 
     -4.99000      0.00000      0.00000      0.00000
     -4.98000      0.00000      0.00000      0.00000
     -4.97000      0.00000      0.00000      0.00000
     -4.96000      0.00000      0.00000      0.00000
     -4.95000      0.00000      0.00000      0.00000
     -4.94000      0.00000      0.00000      0.00000
     -4.93000      0.00000      0.00000      0.00000
     -4.92000      0.00000      0.00000      0.00000
     -4.91000      0.00000      0.00000      0.00000
     -4.90000      0.00000      0.00000      0.00000
     -4.89000      0.00000      0.00000      0.00000
     -4.88000      0.00000      0.00000      0.00000
     -4.87000      0.00000      0.00000      0.00000
     -4.86000      0.00000      0.00000      0.00000
     -4.85000      0.00000      0.00000      0.00000
     -4.84000      0.00000      0.00000      0.00000
     -4.83000      0.00000      0.00000      0.00000
     -4.82000      0.00000      0.00000      0.00000
     -4.81000      0.00000      0.00000      0.00000
     -4.80000      0.00000      0.00000      0.00000
     -4.79000      0.00000      0.00000      0.00000
     -4.78000      0.00000      0.00000      0.00000
     -4.77000      0.00000      0.00000      0.00000
     -4.76000      0.00000      0.00000      0.00000
     -4.75000      0.00000      0.00000      0.00000
     -4.74000      0.00000      0.00000      0.00000
     -4.73000      0.00000      0.00000      0.00000
     -4.72000      0.00000      0.00000      0.00000
     -4.71000      0.00015      0.00007      0.00008
     -4.70000      0.00250      0.00119      0.00131
     -4.69000      0.01583      0.00755      0.00827
     -4.68000      0.03755      0.01793      0.01962
     -4.67000      0.04159      0.01991      0.02168
     -4.66000      0.05637      0.02715      0.02922
     -4.65000      0.08030      0.03875      0.04155
     -4.64000      0.06058      0.02930      0.03128
     -4.63000      0.06132      0.03031      0.03102
     -4.62000      0.10264      0.05536      0.04728
     -4.61000      0.17696      0.10796      0.06900
     -4.60000      0.28127      0.17395      0.10732
     -4.59000      0.30258      0.18974      0.11285
     -4.58000      0.34343      0.22934      0.11409
     -4.57000      0.42795      0.29209      0.13585
     -4.56000      0.45884      0.32397      0.13487
     -4.55000      0.46249      0.33184      0.13065
     -4.54000      0.38166      0.26879      0.11287
     -4.53000      0.38444      0.25765      0.12678
     -4.52000      0.53742      0.36011      0.17731
     -4.51000      0.66994      0.46830      0.20164
     -4.50000      0.72517      0.51400      0.21117
     -4.49000      0.74477      0.51321      0.23156
     -4.48000      0.80228      0.54884      0.25344
