Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Zn O  
   -150.56644      0.97328      0.40496      0.56832
   -150.55644      1.21215      0.51477      0.69738
   -150.54644      1.28465      0.57539      0.70925
   -150.53644      1.22138      0.58629      0.63509
   -150.52644      1.19438      0.59495      0.59943
   -150.51644      1.00853      0.48769      0.52085
   -150.50644      0.81133      0.36514      0.44619
   -150.49644      0.85296      0.37511      0.47785
   -150.48644      1.03949      0.46195      0.57754
   -150.47644      1.07049      0.47993      0.59056
   -150.46644      0.84901      0.38088      0.46813
   -150.45644      0.69046      0.30667      0.38379
   -150.44644      0.70193      0.31063      0.39130
   -150.43644      0.71145      0.30620      0.40525
   -150.42644      0.69442      0.28914      0.40528
   -150.41644      0.68442      0.28528      0.39914
   -150.40644      0.69445      0.29720      0.39725
   -150.39644      0.80672      0.36334      0.44338
   -150.38644      0.96598      0.45033      0.51564
   -150.37644      0.97202      0.45224      0.51978
   -150.36644      0.88789      0.40856      0.47934
   -150.35644      0.89537      0.41119      0.48418
   -150.34644      0.96627      0.43890      0.52737
   -150.33644      1.05985      0.46624      0.59361
   -150.32644      1.08377      0.47354      0.61023
   -150.31644      1.05108      0.47469      0.57638
   -150.30644      1.16806      0.53646      0.63161
   -150.29644      1.26512      0.57552      0.68960
   -150.28644      1.19744      0.53562      0.66182
   -150.27644      1.13759      0.50838      0.62920
   -150.26644      0.99946      0.44475      0.55471
   -150.25644      0.99955      0.43403      0.56552
   -150.24644      1.20528      0.51467      0.69061
   -150.23644      1.09350      0.46879      0.62471
   -150.22644      0.79945      0.34754      0.45191
   -150.21644      0.77951      0.33657      0.44294
   -150.20644      0.91128      0.39177      0.51951
   -150.19644      0.96155      0.41202      0.54953
   -150.18644      0.94335      0.40244      0.54092
   -150.17644      0.93080      0.40194      0.52885
   -150.16644      0.87361      0.38424      0.48936
   -150.15644      0.80896      0.34424      0.46473
   -150.14644      0.72093      0.29205      0.42888
   -150.13644      0.74621      0.30548      0.44074
   -150.12644      0.86810      0.35973      0.50837
   -150.11644      0.86661      0.36274      0.50387
   -150.10644      0.85048      0.36383      0.48665
   -150.09644      0.85942      0.36816      0.49126
   -150.08644      0.96361      0.39678      0.56683
   -150.07644      1.09175      0.44160      0.65015
   -150.06644      1.07883      0.43794      0.64089
   -150.05644      1.07208      0.43410      0.63798
   -150.04644      1.06983      0.43371      0.63612
   -150.03644      0.92961      0.38419      0.54542
   -150.02644      0.81027      0.33720      0.47307
   -150.01644      0.92807      0.38193      0.54614
   -150.00644      1.04855      0.43202      0.61652
   -149.99644      0.98469      0.39935      0.58534
   -149.98644      0.96762      0.38710      0.58052
   -149.97644      1.11198      0.44254      0.66944
   -149.96644      1.25727      0.50800      0.74926
   -149.95644      1.41882      0.59641      0.82241
   -149.94644      1.53283      0.65258      0.88024
   -149.93644      1.42152      0.59577      0.82575
   -149.92644      1.21728      0.50262      0.71467
   -149.91644      1.01408      0.41708      0.59700
   -149.90644      0.79511      0.32086      0.47426
   -149.89644      0.73086      0.28207      0.44879
   -149.88644      0.80482      0.30976      0.49507
   -149.87644      0.89982      0.35602      0.54380
   -149.86644      0.97944      0.38706      0.59238
   -149.85644      1.06400      0.42843      0.63557
   -149.84644      1.28856      0.54911      0.73945
   -149.83644      1.40874      0.61693      0.79181
   -149.82644      1.21247      0.53006      0.68241
   -149.81644      1.09573      0.46582      0.62990
   -149.80644      1.11015      0.45565      0.65450
   -149.79644      1.23528      0.49832      0.73696
   -149.78644      1.41466      0.57835      0.83630
   -149.77644      1.31211      0.55277      0.75934
   -149.76644      1.12990      0.47352      0.65638
   -149.75644      1.09734      0.44374      0.65360
   -149.74644      1.00415      0.39674      0.60741
   -149.73644      0.87629      0.34409      0.53219
   -149.72644      0.93180      0.37284      0.55897
   -149.71644      1.17171      0.47824      0.69347
   -149.70644      1.22334      0.50531      0.71804
   -149.69644      1.00693      0.41583      0.59111
   -149.68644      0.83795      0.33472      0.50323
   -149.67644      0.70534      0.27478      0.43056
   -149.66644      0.59128      0.23356      0.35772
   -149.65644      0.84984      0.34050      0.50934
   -149.64644      1.14992      0.45169      0.69822
   -149.63644      1.13403      0.43476      0.69927
   -149.62644      1.03211      0.39179      0.64032
   -149.61644      1.00127      0.37932      0.62195
   -149.60644      0.96210      0.36531      0.59679
   -149.59644      0.91718      0.35432      0.56286
   -149.58644      0.92990      0.37419      0.55571
   -149.57644      1.04859      0.42907      0.61952
   -149.56644      1.00913      0.41032      0.59881
   -149.55644      0.85880      0.34831      0.51049
   -149.54644      1.07369      0.44668      0.62701
   -149.53644      1.42267      0.60204      0.82063
   -149.52644      1.38704      0.58190      0.80514
   -149.51644      1.23214      0.51302      0.71912
   -149.50644      1.19970      0.50636      0.69334
   -149.49644      1.16394      0.48638      0.67756
   -149.48644      1.07632      0.44443      0.63189
   -149.47644      0.98577      0.40711      0.57866
   -149.46644      0.98611      0.39912      0.58699
   -149.45644      1.12412      0.44478      0.67934
   -149.44644      1.40653      0.55266      0.85387
   -149.43644      1.70053      0.67143      1.02909
   -149.42644      1.56626      0.63402      0.93224
   -149.41644      1.12887      0.47181      0.65706
   -149.40644      0.79050      0.33127      0.45922
   -149.39644      0.84165      0.34929      0.49236
   -149.38644      1.11190      0.45832      0.65358
   -149.37644      1.28828      0.51823      0.77004
   -149.36644      1.20692      0.47288      0.73404
   -149.35644      1.07967      0.41424      0.66543
   -149.34644      1.04087      0.39679      0.64408
   -149.33644      1.08797      0.42049      0.66747
   -149.32644      1.08170      0.43148      0.65022
   -149.31644      1.05217      0.42729      0.62488
   -149.30644      1.01502      0.40261      0.61240
   -149.29644      0.97386      0.38036      0.59349
   -149.28644      0.85800      0.33983      0.51818
   -149.27644      0.81969      0.32535      0.49434
   -149.26644      0.96170      0.37945      0.58225
   -149.25644      0.93195      0.37071      0.56124
   -149.24644      0.70813      0.28624      0.42189
   -149.23644      0.61608      0.24316      0.37293
   -149.22644      0.75336      0.28462      0.46874
   -149.21644      0.99984      0.37291      0.62693
   -149.20644      1.14018      0.42626      0.71392
   -149.19644      1.30622      0.49351      0.81272
   -149.18644      1.57020      0.59979      0.97041
   -149.17644      1.63296      0.63147      1.00149
   -149.16644      1.48577      0.58709      0.89868
   -149.15644      1.31651      0.52430      0.79220
   -149.14644      1.41360      0.55341      0.86019
   -149.13644      1.52857      0.58800      0.94058
   -149.12644      1.49741      0.57674      0.92067
   -149.11644      1.38971      0.55139      0.83832
   -149.10644      1.20147      0.49566      0.70581
   -149.09644      0.95570      0.39651      0.55919
   -149.08644      0.84770      0.33989      0.50781
   -149.07644      1.05423      0.40357      0.65066
   -149.06644      1.33608      0.50567      0.83041
   -149.05644      1.37567      0.52420      0.85146
   -149.04644      1.07498      0.41000      0.66498
   -149.03644      0.78952      0.30144      0.48808
   -149.02644      0.89578      0.34130      0.55448
   -149.01644      1.11802      0.43280      0.68522
   -149.00644      1.44693      0.58105      0.86588
   -148.99644      1.63613      0.66652      0.96961
   -148.98644      1.46031      0.58886      0.87144
   -148.97644      1.16350      0.46288      0.70062
   -148.96644      1.15152      0.45589      0.69563
   -148.95644      1.17323      0.45550      0.71774
   -148.94644      1.12757      0.42025      0.70732
   -148.93644      1.30864      0.47766      0.83098
   -148.92644      1.56825      0.57106      0.99719
   -148.91644      1.50723      0.54724      0.96000
   -148.90644      1.22576      0.44811      0.77765
   -148.89644      1.15959      0.43299      0.72660
   -148.88644      1.30404      0.50148      0.80256
   -148.87644      1.23520      0.48784      0.74736
   -148.86644      1.05862      0.42572      0.63290
   -148.85644      1.11240      0.44717      0.66524
   -148.84644      1.19306      0.48285      0.71021
   -148.83644      1.16274      0.46026      0.70247
   -148.82644      1.17502      0.43507      0.73995
   -148.81644      1.25944      0.45304      0.80639
   -148.80644      1.49470      0.54192      0.95278
   -148.79644      1.70115      0.62555      1.07560
   -148.78644      1.58866      0.59220      0.99646
   -148.77644      1.42829      0.52899      0.89930
   -148.76644      1.36323      0.49612      0.86711
   -148.75644      1.37550      0.50396      0.87154
   -148.74644      1.35553      0.50976      0.84577
   -148.73644      1.48292      0.57063      0.91229
   -148.72644      1.56823      0.61216      0.95607
   -148.71644      1.32322      0.51933      0.80388
   -148.70644      1.05945      0.40645      0.65300
   -148.69644      0.94205      0.35013      0.59193
   -148.68644      0.92224      0.33993      0.58231
   -148.67644      0.96741      0.36213      0.60528
   -148.66644      1.13789      0.42747      0.71042
   -148.65644      1.35465      0.51441      0.84025
   -148.64644      1.27650      0.50004      0.77646
   -148.63644      1.12799      0.45480      0.67319
   -148.62644      1.33579      0.52876      0.80703
   -148.61644      1.56776      0.59357      0.97419
   -148.60644      1.58412      0.58240      1.00172
   -148.59644      1.60196      0.58321      1.01875
   -148.58644      1.58854      0.58465      1.00389
   -148.57644      1.08696      0.41149      0.67546
   -148.56644      0.64577      0.24930      0.39646
   -148.55644      0.72820      0.27372      0.45448
   -148.54644      1.04422      0.38893      0.65529
   -148.53644      1.27217      0.47123      0.80094
   -148.52644      1.40098      0.51302      0.88796
   -148.51644      1.33934      0.48710      0.85223
   -148.50644      1.25289      0.45552      0.79737
   -148.49644      1.38729      0.50521      0.88209
   -148.48644      1.57878      0.57421      1.00457
   -148.47644      1.45597      0.52587      0.93010
   -148.46644      1.38701      0.49959      0.88741
   -148.45644      1.61968      0.58860      1.03108
   -148.44644      1.81107      0.66811      1.14296
   -148.43644      1.77441      0.66282      1.11159
   -148.42644      1.72368      0.63958      1.08409
   -148.41644      1.72876      0.63092      1.09784
   -148.40644      1.72386      0.62549      1.09838
   -148.39644      1.94977      0.71894      1.23084
   -148.38644      2.25385      0.85060      1.40325
   -148.37644      1.97560      0.75681      1.21878
   -148.36644      1.47081      0.55138      0.91943
   -148.35644      1.46878      0.53261      0.93617
   -148.34644      1.63350      0.59454      1.03896
   -148.33644      1.62539      0.60958      1.01581
   -148.32644      1.47771      0.57567      0.90204
   -148.31644      1.34268      0.52678      0.81590
   -148.30644      1.47406      0.55572      0.91834
   -148.29644      1.73162      0.63739      1.09423
   -148.28644      1.63325      0.59828      1.03497
   -148.27644      1.40346      0.51249      0.89097
   -148.26644      1.30285      0.47812      0.82472
   -148.25644      1.18263      0.43880      0.74382
   -148.24644      1.18287      0.44275      0.74012
   -148.23644      1.40808      0.52321      0.88487
   -148.22644      1.48402      0.54487      0.93915
   -148.21644      1.38390      0.50862      0.87528
   -148.20644      1.25231      0.46866      0.78364
   -148.19644      1.25090      0.46833      0.78256
   -148.18644      1.35801      0.49671      0.86130
   -148.17644      1.37710      0.50552      0.87158
   -148.16644      1.35781      0.51121      0.84660
   -148.15644      1.40448      0.53257      0.87191
   -148.14644      1.50828      0.55693      0.95136
   -148.13644      1.62201      0.59781      1.02419
   -148.12644      1.66316      0.61801      1.04515
   -148.11644      1.55623      0.56483      0.99140
   -148.10644      1.40940      0.49929      0.91011
   -148.09644      1.28130      0.46352      0.81779
   -148.08644      1.18735      0.43853      0.74882
   -148.07644      1.23761      0.44353      0.79408
   -148.06644      1.61984      0.58401      1.03584
   -148.05644      2.07576      0.78000      1.29576
   -148.04644      2.06084      0.78036      1.28048
   -148.03644      1.79268      0.65028      1.14240
   -148.02644      1.63155      0.57139      1.06016
   -148.01644      1.56555      0.55178      1.01377
   -148.00644      1.65567      0.58941      1.06626
   -147.99644      1.76152      0.62419      1.13733
   -147.98644      1.88112      0.66568      1.21545
   -147.97644      1.90453      0.68832      1.21621
   -147.96644      1.73369      0.64793      1.08576
   -147.95644      1.49914      0.55855      0.94059
   -147.94644      1.38260      0.49478      0.88782
   -147.93644      1.33404      0.47355      0.86049
   -147.92644      1.31516      0.47065      0.84451
   -147.91644      1.20930      0.43030      0.77900
   -147.90644      1.13490      0.39663      0.73827
   -147.89644      1.15426      0.39988      0.75438
   -147.88644      1.19335      0.41425      0.77909
   -147.87644      1.34020      0.46979      0.87041
   -147.86644      1.52609      0.54532      0.98077
   -147.85644      1.67150      0.59883      1.07267
   -147.84644      1.75730      0.63576      1.12154
   -147.83644      1.66092      0.60831      1.05261
   -147.82644      1.58973      0.57356      1.01617
   -147.81644      1.75729      0.62305      1.13424
   -147.80644      1.99126      0.70489      1.28637
   -147.79644      1.96420      0.69670      1.26750
   -147.78644      1.49941      0.52799      0.97142
   -147.77644      1.20655      0.42206      0.78449
   -147.76644      1.36759      0.48620      0.88139
   -147.75644      1.55282      0.56350      0.98931
   -147.74644      1.57182      0.57461      0.99720
   -147.73644      1.50348      0.54318      0.96030
   -147.72644      1.48771      0.52259      0.96512
   -147.71644      1.47893      0.51134      0.96759
   -147.70644      1.53764      0.52957      1.00807
   -147.69644      1.52094      0.52059      1.00035
   -147.68644      1.38816      0.47395      0.91421
   -147.67644      1.44967      0.49750      0.95217
   -147.66644      1.55719      0.54378      1.01341
   -147.65644      1.39536      0.50142      0.89394
   -147.64644      1.28478      0.46162      0.82316
   -147.63644      1.41475      0.50048      0.91427
   -147.62644      1.58817      0.57261      1.01556
   -147.61644      1.69789      0.61346      1.08443
   -147.60644      1.59896      0.56877      1.03018
   -147.59644      1.44242      0.51386      0.92856
   -147.58644      1.55105      0.54897      1.00208
   -147.57644      1.86158      0.65329      1.20829
   -147.56644      2.01460      0.70491      1.30969
   -147.55644      1.98357      0.69566      1.28791
   -147.54644      1.78087      0.64707      1.13380
   -147.53644      1.45649      0.56031      0.89617
   -147.52644      1.30250      0.48958      0.81292
   -147.51644      1.39387      0.48973      0.90415
   -147.50644      1.46668      0.50726      0.95942
   -147.49644      1.67618      0.58338      1.09280
   -147.48644      2.13179      0.73930      1.39249
   -147.47644      2.36136      0.81050      1.55086
   -147.46644      2.10412      0.72158      1.38254
   -147.45644      1.73506      0.59466      1.14040
   -147.44644      1.51925      0.51145      1.00779
   -147.43644      1.51794      0.50390      1.01404
   -147.42644      1.59858      0.52788      1.07070
   -147.41644      1.61106      0.53038      1.08068
   -147.40644      1.58863      0.52391      1.06472
   -147.39644      1.63712      0.54167      1.09546
   -147.38644      1.78096      0.59723      1.18372
   -147.37644      1.86743      0.63738      1.23005
   -147.36644      1.92415      0.66702      1.25713
   -147.35644      2.04482      0.71635      1.32847
   -147.34644      1.90259      0.65868      1.24391
   -147.33644      1.61653      0.55145      1.06508
   -147.32644      1.61568      0.55795      1.05773
   -147.31644      1.82576      0.64680      1.17895
   -147.30644      1.95380      0.69934      1.25446
   -147.29644      1.86324      0.65986      1.20337
   -147.28644      1.59664      0.54997      1.04667
   -147.27644      1.49722      0.49738      0.99984
   -147.26644      1.62844      0.53122      1.09722
   -147.25644      1.66001      0.54177      1.11824
   -147.24644      1.72272      0.56330      1.15942
   -147.23644      1.87496      0.61650      1.25846
   -147.22644      1.77568      0.59093      1.18475
   -147.21644      1.49875      0.50087      0.99788
   -147.20644      1.51132      0.51262      0.99870
   -147.19644      1.69924      0.59993      1.09931
   -147.18644      1.90171      0.67733      1.22437
   -147.17644      1.96178      0.68827      1.27351
   -147.16644      1.80588      0.62932      1.17656
   -147.15644      1.58937      0.56109      1.02827
   -147.14644      1.56200      0.55238      1.00962
   -147.13644      1.86172      0.65558      1.20614
   -147.12644      2.10633      0.74981      1.35652
   -147.11644      1.94748      0.70322      1.24426
   -147.10644      1.64235      0.59497      1.04738
   -147.09644      1.56462      0.55666      1.00796
   -147.08644      1.72403      0.59077      1.13326
   -147.07644      1.82347      0.60301      1.22046
   -147.06644      1.71751      0.55461      1.16291
   -147.05644      1.49940      0.48119      1.01820
   -147.04644      1.31325      0.42230      0.89096
   -147.03644      1.26880      0.40788      0.86092
   -147.02644      1.43460      0.46060      0.97400
   -147.01644      1.53687      0.49327      1.04360
   -147.00644      1.42151      0.46508      0.95643
   -146.99644      1.03378      0.36558      0.66821
   -146.98644      0.06441      0.06949     -0.00508
   -146.97644     -0.77335     -0.21471     -0.55864
   -146.96644     -0.01592      0.00775     -0.02367
   -146.95644      1.19962      0.39089      0.80873
   -146.94644      1.64107      0.54281      1.09826
   -146.93644      1.41197      0.48400      0.92797
   -146.92644      1.18634      0.40428      0.78206
   -146.91644      1.34964      0.45184      0.89779
   -146.90644      1.65506      0.57129      1.08377
   -146.89644      1.71770      0.59781      1.11990
   -146.88644      1.66132      0.57593      1.08539
   -146.87644      1.83712      0.65475      1.18237
   -146.86644      1.78330      0.63987      1.14343
   -146.85644      1.43549      0.52914      0.90634
   -146.84644      1.37910      0.54903      0.83007
   -146.83644      1.51359      0.57996      0.93362
   -146.82644      1.41518      0.50628      0.90890
   -146.81644      1.14335      0.40155      0.74180
   -146.80644      1.01688      0.34262      0.67426
   -146.79644      0.95979      0.31317      0.64662
   -146.78644      0.91452      0.29597      0.61854
   -146.77644      1.05657      0.33986      0.71671
   -146.76644      1.14843      0.37869      0.76974
   -146.75644      1.22278      0.43006      0.79272
   -146.74644      1.43310      0.53009      0.90301
   -146.73644      1.66668      0.62625      1.04043
   -146.72644      1.77226      0.64064      1.13162
   -146.71644      1.47310      0.50934      0.96376
   -146.70644      0.96933      0.34474      0.62459
   -146.69644      0.72033      0.27087      0.44946
   -146.68644      0.88849      0.31301      0.57547
   -146.67644      1.16480      0.39479      0.77002
   -146.66644      1.10697      0.38520      0.72177
   -146.65644      0.88463      0.31953      0.56510
   -146.64644      0.80555      0.28452      0.52103
   -146.63644      0.87310      0.29388      0.57922
   -146.62644      1.01099      0.33132      0.67967
   -146.61644      0.95183      0.31144      0.64039
   -146.60644      0.81997      0.26977      0.55020
   -146.59644      1.04305      0.35259      0.69046
   -146.58644      1.32159      0.45959      0.86200
   -146.57644      1.23089      0.43797      0.79292
   -146.56644      0.89359      0.33559      0.55800
   -146.55644      0.71974      0.26779      0.45195
   -146.54644      0.80513      0.27233      0.53281
   -146.53644      0.83197      0.27406      0.55792
   -146.52644      0.78974      0.26860      0.52113
   -146.51644      0.78229      0.27774      0.50455
   -146.50644      0.82572      0.28347      0.54225
   -146.49644      0.93725      0.30733      0.62991
   -146.48644      0.85388      0.28419      0.56969
   -146.47644      0.70633      0.24506      0.46127
   -146.46644      0.72854      0.24831      0.48024
   -146.45644      0.81419      0.26757      0.54662
   -146.44644      0.84720      0.28421      0.56298
   -146.43644      0.89369      0.32080      0.57289
   -146.42644      0.93944      0.35325      0.58619
   -146.41644      0.86386      0.33025      0.53361
   -146.40644      0.88138      0.33385      0.54753
   -146.39644      0.96110      0.35903      0.60206
   -146.38644      0.85096      0.33204      0.51892
   -146.37644      0.65039      0.28051      0.36988
   -146.36644      0.62464      0.28682      0.33782
   -146.35644      0.79342      0.34671      0.44671
   -146.34644      0.85168      0.33324      0.51844
   -146.33644      0.67239      0.23526      0.43713
   -146.32644      0.55060      0.18756      0.36304
   -146.31644      0.67822      0.25103      0.42718
   -146.30644      0.87904      0.35167      0.52737
   -146.29644      0.88791      0.37369      0.51422
   -146.28644      0.78271      0.32925      0.45345
   -146.27644      0.73707      0.29275      0.44432
   -146.26644      0.74220      0.26907      0.47314
   -146.25644      0.73967      0.25956      0.48011
   -146.24644      0.67141      0.25379      0.41762
   -146.23644      0.50008      0.20140      0.29868
   -146.22644      0.32807      0.13594      0.19213
   -146.21644      0.33752      0.16430      0.17322
   -146.20644      0.47687      0.23799      0.23888
   -146.19644      0.53070      0.23299      0.29772
   -146.18644      0.51140      0.20416      0.30724
   -146.17644      0.58158      0.24148      0.34010
   -146.16644      0.65315      0.27904      0.37410
   -146.15644      0.53109      0.21928      0.31181
   -146.14644      0.38588      0.13932      0.24656
   -146.13644      0.36780      0.12341      0.24439
   -146.12644      0.34954      0.13076      0.21878
   -146.11644      0.32080      0.14264      0.17815
   -146.10644      0.28583      0.13812      0.14771
   -146.09644      0.42338      0.20474      0.21864
   -146.08644      0.69114      0.33088      0.36026
   -146.07644      0.63108      0.29249      0.33859
   -146.06644      0.40102      0.17423      0.22678
   -146.05644      0.31726      0.13752      0.17974
   -146.04644      0.32606      0.12885      0.19721
   -146.03644      0.44269      0.14960      0.29309
   -146.02644      0.59484      0.20340      0.39145
   -146.01644      0.61658      0.24614      0.37044
   -146.00644      0.63141      0.30099      0.33041
   -145.99644      0.65698      0.34618      0.31080
   -145.98644      0.65540      0.36254      0.29286
