Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Zn O  
   -155.40644      1.18531      0.81928      0.36603
   -155.39644      1.47839      1.04138      0.43701
   -155.38644      1.65891      1.19164      0.46727
   -155.37644      1.48205      1.06970      0.41236
   -155.36644      1.27157      0.89476      0.37680
   -155.35644      1.19945      0.81574      0.38371
   -155.34644      1.19636      0.81935      0.37701
   -155.33644      1.09801      0.76537      0.33263
   -155.32644      1.09750      0.76217      0.33533
   -155.31644      1.26252      0.88130      0.38122
   -155.30644      1.25338      0.88952      0.36387
   -155.29644      1.01753      0.73083      0.28670
   -155.28644      0.88208      0.63897      0.24311
   -155.27644      0.77313      0.55617      0.21695
   -155.26644      0.56355      0.39797      0.16558
   -155.25644      0.55719      0.38709      0.17011
   -155.24644      0.75139      0.51546      0.23593
   -155.23644      0.88532      0.60504      0.28028
   -155.22644      0.95432      0.64717      0.30715
   -155.21644      1.05408      0.70305      0.35102
   -155.20644      1.24283      0.86121      0.38162
   -155.19644      1.21608      0.97201      0.24407
   -155.18644      0.35631      0.63544     -0.27913
   -155.17644     -0.29514      0.26626     -0.56139
   -155.16644      0.34561      0.46042     -0.11482
   -155.15644      1.00639      0.74499      0.26140
   -155.14644      1.27646      0.90067      0.37580
   -155.13644      1.35733      0.95716      0.40017
   -155.12644      1.27360      0.89467      0.37892
   -155.11644      1.33754      0.92081      0.41673
   -155.10644      1.49717      1.00542      0.49175
   -155.09644      1.44506      0.96795      0.47711
   -155.08644      1.35448      0.92627      0.42822
   -155.07644      1.42783      0.99184      0.43599
   -155.06644      1.32032      0.90613      0.41419
   -155.05644      1.09285      0.73531      0.35754
   -155.04644      1.10299      0.74895      0.35404
   -155.03644      1.28469      0.88824      0.39645
   -155.02644      1.24012      0.86351      0.37661
   -155.01644      1.05341      0.72770      0.32571
   -155.00644      1.18059      0.79558      0.38501
   -154.99644      1.26489      0.84781      0.41709
   -154.98644      1.19098      0.81359      0.37740
   -154.97644      1.33326      0.91397      0.41929
   -154.96644      1.31628      0.89134      0.42494
   -154.95644      1.10718      0.74663      0.36055
   -154.94644      1.17443      0.80947      0.36496
   -154.93644      1.48753      1.03546      0.45207
   -154.92644      1.56428      1.09213      0.47214
   -154.91644      1.33643      0.94287      0.39356
   -154.90644      1.03918      0.73555      0.30363
   -154.89644      1.03356      0.72916      0.30439
   -154.88644      1.23921      0.87306      0.36614
   -154.87644      1.16298      0.81764      0.34534
   -154.86644      1.03261      0.71653      0.31608
   -154.85644      1.21446      0.83243      0.38203
   -154.84644      1.37356      0.93000      0.44356
   -154.83644      1.53242      1.02331      0.50911
   -154.82644      1.73957      1.17445      0.56512
   -154.81644      1.62895      1.11645      0.51250
   -154.80644      1.38003      0.95363      0.42640
   -154.79644      1.33419      0.93203      0.40216
   -154.78644      1.23026      0.87101      0.35925
   -154.77644      0.95848      0.67496      0.28352
   -154.76644      0.95817      0.64734      0.31083
   -154.75644      1.21197      0.81898      0.39299
   -154.74644      1.43219      1.00394      0.42825
   -154.73644      1.65950      1.16923      0.49027
   -154.72644      1.74918      1.18818      0.56101
   -154.71644      1.55734      0.99450      0.56284
   -154.70644      1.21979      0.74771      0.47208
   -154.69644      1.01357      0.64874      0.36483
   -154.68644      1.12819      0.76236      0.36584
   -154.67644      1.38027      0.93750      0.44277
   -154.66644      1.62555      1.10920      0.51636
   -154.65644      1.74039      1.19125      0.54913
   -154.64644      1.80274      1.22083      0.58192
   -154.63644      1.79036      1.19958      0.59078
   -154.62644      1.46031      0.98554      0.47477
   -154.61644      1.27480      0.87940      0.39539
   -154.60644      1.35860      0.93221      0.42639
   -154.59644      1.64152      1.11193      0.52959
   -154.58644      1.95762      1.34129      0.61634
   -154.57644      2.05184      1.41973      0.63210
   -154.56644      1.92682      1.32043      0.60639
   -154.55644      1.66855      1.12630      0.54225
   -154.54644      1.52314      1.02711      0.49603
   -154.53644      1.53769      1.03040      0.50729
   -154.52644      1.45571      0.95273      0.50297
   -154.51644      1.46685      0.93589      0.53096
   -154.50644      1.79715      1.14539      0.65176
   -154.49644      2.12597      1.38308      0.74289
   -154.48644      2.15998      1.43273      0.72725
   -154.47644      2.03307      1.36335      0.66972
   -154.46644      2.11221      1.41426      0.69795
   -154.45644      2.27172      1.50193      0.76979
   -154.44644      2.14910      1.40467      0.74443
   -154.43644      1.73164      1.13265      0.59899
   -154.42644      1.42832      0.94426      0.48406
   -154.41644      1.40506      0.93783      0.46723
   -154.40644      1.39834      0.94044      0.45790
   -154.39644      1.51233      1.01666      0.49568
   -154.38644      1.55997      1.03953      0.52044
   -154.37644      1.34108      0.89548      0.44560
   -154.36644      1.15128      0.78272      0.36856
   -154.35644      1.16902      0.79877      0.37025
   -154.34644      1.44663      0.98567      0.46096
   -154.33644      1.99435      1.36546      0.62889
   -154.32644      2.20359      1.50099      0.70260
   -154.31644      1.78434      1.18111      0.60323
   -154.30644      1.38330      0.89415      0.48915
   -154.29644      1.17667      0.77047      0.40619
   -154.28644      1.22675      0.80912      0.41763
   -154.27644      1.47334      0.97439      0.49895
   -154.26644      1.29279      0.86114      0.43165
   -154.25644      0.99317      0.66517      0.32801
   -154.24644      1.05238      0.71280      0.33958
   -154.23644      1.07489      0.73161      0.34327
   -154.22644      1.00144      0.66762      0.33381
   -154.21644      1.29224      0.82772      0.46452
   -154.20644      1.51550      0.95956      0.55594
   -154.19644      1.26330      0.80834      0.45496
   -154.18644      0.90956      0.58805      0.32151
   -154.17644      0.79674      0.51761      0.27913
   -154.16644      0.86325      0.56120      0.30205
   -154.15644      0.99698      0.63163      0.36534
   -154.14644      1.19670      0.72456      0.47213
   -154.13644      1.37741      0.81816      0.55925
   -154.12644      1.56489      0.94502      0.61987
   -154.11644      1.65314      1.00628      0.64687
   -154.10644      1.36609      0.84697      0.51912
   -154.09644      1.11911      0.72964      0.38948
   -154.08644      1.18857      0.79439      0.39418
   -154.07644      1.08590      0.71417      0.37173
   -154.06644      0.89992      0.56711      0.33281
   -154.05644      0.91480      0.56483      0.34997
   -154.04644      1.16540      0.73043      0.43496
   -154.03644      1.41281      0.88311      0.52970
   -154.02644      1.49896      0.91807      0.58089
   -154.01644      1.28215      0.79274      0.48941
   -154.00644      1.07117      0.69728      0.37389
   -153.99644      1.25907      0.83938      0.41969
   -153.98644      1.28446      0.85372      0.43074
   -153.97644      0.88103      0.59056      0.29047
   -153.96644      0.66014      0.44880      0.21134
   -153.95644      0.80490      0.53531      0.26959
   -153.94644      1.01727      0.65940      0.35787
   -153.93644      1.11983      0.72201      0.39782
   -153.92644      1.13527      0.73734      0.39793
   -153.91644      1.01739      0.66081      0.35659
   -153.90644      0.99433      0.62997      0.36436
   -153.89644      1.00918      0.63051      0.37867
   -153.88644      0.89719      0.57416      0.32303
   -153.87644      0.83898      0.54560      0.29337
   -153.86644      0.92534      0.59901      0.32634
   -153.85644      0.97042      0.62952      0.34090
   -153.84644      0.89978      0.58260      0.31718
   -153.83644      0.70594      0.45438      0.25156
   -153.82644      0.68310      0.43253      0.25056
   -153.81644      0.87731      0.53476      0.34255
   -153.80644      1.06638      0.64078      0.42561
   -153.79644      1.15459      0.69374      0.46085
   -153.78644      1.18176      0.68828      0.49348
   -153.77644      1.14315      0.65629      0.48686
   -153.76644      1.08588      0.66470      0.42117
   -153.75644      1.06269      0.68850      0.37419
   -153.74644      1.09704      0.71910      0.37794
   -153.73644      1.20187      0.78078      0.42109
   -153.72644      1.08978      0.69035      0.39943
   -153.71644      1.02466      0.63808      0.38658
   -153.70644      1.16848      0.74889      0.41959
   -153.69644      1.19655      0.79051      0.40604
   -153.68644      0.97186      0.63941      0.33245
   -153.67644      0.77667      0.49921      0.27747
   -153.66644      0.77810      0.50666      0.27144
   -153.65644      0.77854      0.51309      0.26544
   -153.64644      0.74237      0.48200      0.26038
   -153.63644      0.84392      0.53174      0.31218
   -153.62644      1.17310      0.73971      0.43339
   -153.61644      1.46354      0.93944      0.52410
   -153.60644      1.45480      0.94165      0.51314
   -153.59644      1.48378      0.95929      0.52448
   -153.58644      1.59497      1.04439      0.55057
   -153.57644      1.46166      0.97035      0.49131
   -153.56644      1.18739      0.78386      0.40353
   -153.55644      1.01615      0.66459      0.35156
   -153.54644      0.88532      0.58060      0.30472
   -153.53644      0.91525      0.60071      0.31454
   -153.52644      1.07157      0.69570      0.37587
   -153.51644      1.10303      0.69620      0.40683
   -153.50644      1.08819      0.68184      0.40635
   -153.49644      1.11267      0.71652      0.39615
   -153.48644      1.19987      0.78214      0.41772
   -153.47644      1.26146      0.80379      0.45767
   -153.46644      1.27373      0.79077      0.48295
   -153.45644      1.42112      0.89227      0.52885
   -153.44644      1.58990      1.01359      0.57631
   -153.43644      1.53881      0.97876      0.56005
   -153.42644      1.42667      0.90295      0.52372
   -153.41644      1.49904      0.95158      0.54746
   -153.40644      1.60456      1.03167      0.57289
   -153.39644      1.67401      1.08809      0.58592
   -153.38644      1.68103      1.08427      0.59676
   -153.37644      1.41307      0.88463      0.52844
   -153.36644      0.99524      0.60899      0.38625
   -153.35644      0.89983      0.56911      0.33073
   -153.34644      1.16023      0.75949      0.40074
   -153.33644      1.30736      0.86640      0.44095
   -153.32644      1.29358      0.85457      0.43901
   -153.31644      1.20737      0.77941      0.42796
   -153.30644      0.99641      0.62484      0.37157
   -153.29644      0.76758      0.47800      0.28957
   -153.28644      0.84688      0.53180      0.31508
   -153.27644      1.20940      0.75434      0.45506
   -153.26644      1.24647      0.77220      0.47427
   -153.25644      1.00305      0.62376      0.37928
   -153.24644      0.92931      0.58595      0.34336
   -153.23644      1.08314      0.68802      0.39512
   -153.22644      1.17711      0.73836      0.43875
   -153.21644      1.12585      0.70050      0.42535
   -153.20644      1.05126      0.66671      0.38454
   -153.19644      0.88946      0.57877      0.31069
   -153.18644      0.63032      0.41681      0.21351
   -153.17644      0.58491      0.38749      0.19742
   -153.16644      0.74327      0.48697      0.25631
   -153.15644      0.66955      0.43253      0.23702
   -153.14644      0.48628      0.29656      0.18972
   -153.13644      0.56582      0.32977      0.23605
   -153.12644      0.73215      0.44315      0.28900
   -153.11644      0.81841      0.51127      0.30714
   -153.10644      0.80749      0.51127      0.29622
   -153.09644      0.91325      0.57818      0.33507
   -153.08644      1.03833      0.64114      0.39719
   -153.07644      1.04028      0.63625      0.40403
   -153.06644      0.93952      0.58224      0.35727
   -153.05644      0.95697      0.59121      0.36576
   -153.04644      1.11736      0.67928      0.43808
   -153.03644      1.08849      0.65174      0.43675
   -153.02644      0.89160      0.54080      0.35080
   -153.01644      0.78600      0.49803      0.28796
   -153.00644      0.70406      0.44999      0.25407
   -152.99644      0.67865      0.42085      0.25780
   -152.98644      0.65653      0.40153      0.25499
   -152.97644      0.63924      0.39583      0.24340
   -152.96644      0.86409      0.52964      0.33445
   -152.95644      0.97606      0.58727      0.38879
   -152.94644      0.88596      0.53907      0.34689
   -152.93644      0.78683      0.49310      0.29373
   -152.92644      0.60275      0.38451      0.21824
   -152.91644      0.51925      0.31838      0.20088
   -152.90644      0.74536      0.43466      0.31070
   -152.89644      0.93807      0.54980      0.38827
   -152.88644      0.72997      0.42681      0.30316
   -152.87644      0.50155      0.27032      0.23123
   -152.86644      0.50402      0.25513      0.24889
   -152.85644      0.53619      0.27342      0.26277
   -152.84644      0.54083      0.29571      0.24512
   -152.83644      0.68023      0.41009      0.27013
   -152.82644      0.92556      0.56773      0.35783
   -152.81644      0.94038      0.57782      0.36255
