Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al As 
    -13.83222      1.27079      0.00000      0.00000
    -13.82222      1.07797      0.00000      0.00000
    -13.81222      1.46113      0.00000      0.00000
    -13.80222      1.69293      0.00000      0.00000
    -13.79222      1.54050      0.00000      0.00000
    -13.78222      1.37194      0.00000      0.00000
    -13.77222      1.51866      0.00000      0.00000
    -13.76222      1.55200      0.00000      0.00000
    -13.75222      1.49324      0.00000      0.00000
    -13.74222      1.68406      0.00000      0.00000
    -13.73222      1.56030      0.00000      0.00000
    -13.72222      1.01808      0.00000      0.00000
    -13.71222      0.83479      0.00000      0.00000
    -13.70222      1.03788      0.00000      0.00000
    -13.69222      1.32788      0.00000      0.00000
    -13.68222      1.60635      0.00000      0.00000
    -13.67222      1.55825      0.00000      0.00000
    -13.66222      1.18142      0.00000      0.00000
    -13.65222      1.04157      0.00000      0.00000
    -13.64222      1.13887      0.00000      0.00000
    -13.63222      1.09510      0.00000      0.00000
    -13.62222      0.92183      0.00000      0.00000
    -13.61222      0.86606      0.00000      0.00000
    -13.60222      0.79629      0.00000      0.00000
    -13.59222      0.70782      0.00000      0.00000
    -13.58222      0.69866      0.00000      0.00000
    -13.57222      0.75821      0.00000      0.00000
    -13.56222      0.79539      0.00000      0.00000
    -13.55222      0.66535      0.00000      0.00000
    -13.54222      0.80278      0.00000      0.00000
    -13.53222      1.35261      0.00000      0.00000
    -13.52222      1.46275      0.00000      0.00000
    -13.51222      1.20081      0.00000      0.00000
    -13.50222      1.09873      0.00000      0.00000
    -13.49222      1.14987      0.00000      0.00000
    -13.48222      1.44531      0.00000      0.00000
    -13.47222      1.77105      0.00000      0.00000
    -13.46222      1.92041      0.00000      0.00000
    -13.45222      1.71708      0.00000      0.00000
    -13.44222      1.20384      0.00000      0.00000
    -13.43222      1.00145      0.00000      0.00000
    -13.42222      1.10288      0.00000      0.00000
    -13.41222      1.34351      0.00000      0.00000
    -13.40222      1.67139      0.00000      0.00000
    -13.39222      1.62062      0.00000      0.00000
    -13.38222      1.34979      0.00000      0.00000
    -13.37222      1.26102      0.00000      0.00000
    -13.36222      1.37081      0.00000      0.00000
