Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al As 
    -78.04144      0.63539      0.32775      0.30765
    -78.03144      0.53899      0.28058      0.25841
    -78.02144      0.73057      0.37158      0.35898
    -78.01144      0.84647      0.44137      0.40510
    -78.00144      0.77025      0.41177      0.35849
    -77.99144      0.68597      0.36303      0.32294
    -77.98144      0.75933      0.39046      0.36887
    -77.97144      0.77600      0.38415      0.39184
    -77.96144      0.74662      0.37099      0.37563
    -77.95144      0.84203      0.42458      0.41745
    -77.94144      0.78015      0.39044      0.38971
    -77.93144      0.50904      0.24817      0.26087
    -77.92144      0.41740      0.21067      0.20673
    -77.91144      0.51894      0.27637      0.24256
    -77.90144      0.66394      0.32781      0.33613
    -77.89144      0.80317      0.38048      0.42270
    -77.88144      0.77912      0.39837      0.38076
    -77.87144      0.59071      0.33119      0.25952
    -77.86144      0.52078      0.29439      0.22639
    -77.85144      0.56943      0.30864      0.26080
    -77.84144      0.54755      0.28298      0.26457
    -77.83144      0.46092      0.22390      0.23701
    -77.82144      0.43303      0.21246      0.22057
    -77.81144      0.39814      0.20327      0.19487
    -77.80144      0.35391      0.18635      0.16756
    -77.79144      0.34933      0.18191      0.16742
    -77.78144      0.37911      0.19869      0.18041
    -77.77144      0.39770      0.21574      0.18196
    -77.76144      0.33268      0.18073      0.15195
    -77.75144      0.40139      0.21911      0.18228
    -77.74144      0.67631      0.35477      0.32153
    -77.73144      0.73138      0.36541      0.36597
    -77.72144      0.60041      0.29102      0.30939
    -77.71144      0.54937      0.25782      0.29155
    -77.70144      0.57493      0.26263      0.31231
    -77.69144      0.72265      0.33065      0.39200
    -77.68144      0.88553      0.40558      0.47995
    -77.67144      0.96020      0.46941      0.49080
    -77.66144      0.85854      0.44698      0.41156
    -77.65144      0.60192      0.31510      0.28682
    -77.64144      0.50073      0.26181      0.23891
    -77.63144      0.55144      0.29055      0.26089
    -77.62144      0.67176      0.35133      0.32043
    -77.61144      0.83569      0.43156      0.40414
    -77.60144      0.81031      0.39695      0.41336
    -77.59144      0.67490      0.30405      0.37084
    -77.58144      0.63051      0.28888      0.34163
    -77.57144      0.68540      0.34308      0.34232
    -77.56144      0.73578      0.39108      0.34470
    -77.55144      0.76292      0.40683      0.35609
    -77.54144      0.90034      0.46956      0.43078
    -77.53144      0.90221      0.47767      0.42454
    -77.52144      0.73692      0.39561      0.34131
    -77.51144      0.77563      0.38481      0.39082
    -77.50144      0.88545      0.40369      0.48176
    -77.49144      0.96755      0.44066      0.52689
    -77.48144      0.94857      0.45569      0.49288
    -77.47144      1.03340      0.53407      0.49933
    -77.46144      1.28395      0.70019      0.58376
    -77.45144      1.12165      0.62240      0.49925
    -77.44144      0.60534      0.32997      0.27537
    -77.43144      0.42795      0.21473      0.21321
    -77.42144      0.59594      0.29668      0.29927
    -77.41144      0.69889      0.34419      0.35470
    -77.40144      0.73048      0.34980      0.38068
    -77.39144      0.84481      0.40501      0.43980
    -77.38144      0.79441      0.37288      0.42153
    -77.37144      0.48325      0.21045      0.27280
    -77.36144      0.33785      0.13773      0.20012
    -77.35144      0.38200      0.16723      0.21477
    -77.34144      0.48476      0.23262      0.25214
    -77.33144      0.58530      0.30561      0.27969
    -77.32144      0.63377      0.36498      0.26879
    -77.31144      0.58780      0.35335      0.23446
    -77.30144      0.56760      0.32617      0.24142
    -77.29144      0.72688      0.40322      0.32366
    -77.28144      0.71766      0.39822      0.31944
    -77.27144      0.50381      0.26163      0.24218
    -77.26144      0.52251      0.26305      0.25946
    -77.25144      0.65019      0.35238      0.29781
    -77.24144      0.64630      0.35282      0.29348
    -77.23144      0.67570      0.34364      0.33206
    -77.22144      0.68064      0.33146      0.34918
    -77.21144      0.60426      0.29631      0.30796
    -77.20144      0.55450      0.27346      0.28104
    -77.19144      0.55292      0.28367      0.26925
    -77.18144      0.54438      0.29256      0.25182
    -77.17144      0.51018      0.28324      0.22694
