Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al As 
     -5.02720      0.10860      0.00000      0.00000
     -5.01720      0.23663      0.00000      0.00000
     -5.00720      0.24758      0.00000      0.00000
     -4.99720      0.26920      0.00000      0.00000
     -4.98720      0.40363      0.00000      0.00000
     -4.97720      0.57222      0.00000      0.00000
     -4.96720      0.73781      0.00000      0.00000
     -4.95720      0.68181      0.00000      0.00000
     -4.94720      0.47250      0.00000      0.00000
     -4.93720      0.40071      0.00000      0.00000
     -4.92720      0.43561      0.00000      0.00000
     -4.91720      0.61556      0.00000      0.00000
     -4.90720      1.01901      0.00000      0.00000
     -4.89720      1.16103      0.00000      0.00000
     -4.88720      0.94493      0.00000      0.00000
     -4.87720      0.87886      0.00000      0.00000
     -4.86720      0.92504      0.00000      0.00000
     -4.85720      0.87579      0.00000      0.00000
     -4.84720      0.75775      0.00000      0.00000
     -4.83720      0.76040      0.00000      0.00000
     -4.82720      0.76817      0.00000      0.00000
     -4.81720      0.80344      0.00000      0.00000
     -4.80720      1.08843      0.00000      0.00000
     -4.79720      1.41400      0.00000      0.00000
     -4.78720      1.50517      0.00000      0.00000
     -4.77720      1.50848      0.00000      0.00000
     -4.76720      1.56886      0.00000      0.00000
     -4.75720      1.47338      0.00000      0.00000
     -4.74720      1.38237      0.00000      0.00000
     -4.73720      1.35897      0.00000      0.00000
     -4.72720      1.36507      0.00000      0.00000
     -4.71720      1.34850      0.00000      0.00000
     -4.70720      1.30361      0.00000      0.00000
     -4.69720      1.31634      0.00000      0.00000
     -4.68720      1.33457      0.00000      0.00000
     -4.67720      1.57461      0.00000      0.00000
     -4.66720      1.94957      0.00000      0.00000
     -4.65720      2.20362      0.00000      0.00000
     -4.64720      2.06379      0.00000      0.00000
     -4.63720      1.85237      0.00000      0.00000
     -4.62720      1.86449      0.00000      0.00000
     -4.61720      1.99540      0.00000      0.00000
     -4.60720      2.17731      0.00000      0.00000
     -4.59720      2.52711      0.00000      0.00000
     -4.58720      2.73725      0.00000      0.00000
     -4.57720      2.33909      0.00000      0.00000
     -4.56720      1.78617      0.00000      0.00000
     -4.55720      1.40247      0.00000      0.00000
     -4.54720      1.50271      0.00000      0.00000
     -4.53720      2.04460      0.00000      0.00000
     -4.52720      2.65879      0.00000      0.00000
     -4.51720      2.98973      0.00000      0.00000
     -4.50720      2.91443      0.00000      0.00000
     -4.49720      2.67444      0.00000      0.00000
     -4.48720      2.61003      0.00000      0.00000
     -4.47720      3.08634      0.00000      0.00000
     -4.46720      3.75793      0.00000      0.00000
     -4.45720      4.21049      0.00000      0.00000
     -4.44720      4.00261      0.00000      0.00000
     -4.43720      3.43543      0.00000      0.00000
     -4.42720      2.91257      0.00000      0.00000
     -4.41720      2.53463      0.00000      0.00000
     -4.40720      2.73107      0.00000      0.00000
     -4.39720      2.93054      0.00000      0.00000
     -4.38720      2.81757      0.00000      0.00000
     -4.37720      3.14606      0.00000      0.00000
     -4.36720      3.64943      0.00000      0.00000
     -4.35720      3.61424      0.00000      0.00000
     -4.34720      3.22235      0.00000      0.00000
     -4.33720      2.73023      0.00000      0.00000
     -4.32720      2.72089      0.00000      0.00000
     -4.31720      3.30368      0.00000      0.00000
     -4.30720      3.80543      0.00000      0.00000
     -4.29720      4.10223      0.00000      0.00000
     -4.28720      3.88705      0.00000      0.00000
     -4.27720      3.60554      0.00000      0.00000
     -4.26720      3.62379      0.00000      0.00000
     -4.25720      3.46475      0.00000      0.00000
     -4.24720      3.66378      0.00000      0.00000
     -4.23720      4.37116      0.00000      0.00000
     -4.22720      4.49350      0.00000      0.00000
     -4.21720      3.66958      0.00000      0.00000
     -4.20720      3.25906      0.00000      0.00000
     -4.19720      3.22629      0.00000      0.00000
     -4.18720      3.39742      0.00000      0.00000
     -4.17720      3.50795      0.00000      0.00000
     -4.16720      3.52199      0.00000      0.00000
     -4.15720      3.89397      0.00000      0.00000
     -4.14720      4.18796      0.00000      0.00000
     -4.13720      4.38219      0.00000      0.00000
     -4.12720      4.49145      0.00000      0.00000
     -4.11720      4.55135      0.00000      0.00000
     -4.10720      5.38940      0.00000      0.00000
     -4.09720      6.15999      0.00000      0.00000
     -4.08720      5.42024      0.00000      0.00000
     -4.07720      4.32484      0.00000      0.00000
     -4.06720      4.35871      0.00000      0.00000
     -4.05720      4.99051      0.00000      0.00000
     -4.04720      4.97494      0.00000      0.00000
     -4.03720      4.50614      0.00000      0.00000
     -4.02720      4.50606      0.00000      0.00000
     -4.01720      4.42271      0.00000      0.00000
     -4.00720      3.88740      0.00000      0.00000
     -3.99720      3.60860      0.00000      0.00000
     -3.98720      3.66498      0.00000      0.00000
     -3.97720      3.49094      0.00000      0.00000
     -3.96720      3.12590      0.00000      0.00000
