Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al As 
     -3.56000      0.59556      0.35385      0.24171
     -3.55000      0.40068      0.22909      0.17159
     -3.54000      0.47643      0.25127      0.22516
     -3.53000      0.72008      0.39023      0.32985
     -3.52000      0.81416      0.45626      0.35790
     -3.51000      0.78402      0.45053      0.33349
     -3.50000      0.90106      0.51953      0.38153
     -3.49000      0.88380      0.50901      0.37479
     -3.48000      0.69119      0.40586      0.28533
     -3.47000      0.63618      0.37050      0.26568
     -3.46000      0.72148      0.41130      0.31018
     -3.45000      0.71493      0.40829      0.30664
     -3.44000      0.77627      0.44260      0.33367
     -3.43000      1.04059      0.59062      0.44997
     -3.42000      0.96012      0.55086      0.40926
     -3.41000      0.63145      0.37244      0.25901
     -3.40000      0.60172      0.36299      0.23874
     -3.39000      0.68414      0.40136      0.28278
     -3.38000      0.64777      0.36073      0.28704
     -3.37000      0.55901      0.30851      0.25050
     -3.36000      0.51683      0.29451      0.22233
     -3.35000      0.49195      0.27731      0.21464
     -3.34000      0.64412      0.33548      0.30864
     -3.33000      0.89141      0.45041      0.44101
     -3.32000      1.03888      0.53300      0.50588
     -3.31000      1.04750      0.54504      0.50246
     -3.30000      0.94473      0.49997      0.44476
     -3.29000      1.09811      0.59524      0.50287
     -3.28000      1.17815      0.64486      0.53329
     -3.27000      0.81619      0.45093      0.36526
     -3.26000      0.57104      0.32091      0.25013
     -3.25000      0.77234      0.42563      0.34671
     -3.24000      0.95616      0.51131      0.44485
     -3.23000      0.83438      0.43639      0.39799
     -3.22000      0.80962      0.42866      0.38096
     -3.21000      1.04312      0.57397      0.46915
     -3.20000      1.19369      0.65809      0.53559
     -3.19000      1.12784      0.60990      0.51795
     -3.18000      1.06359      0.57096      0.49263
     -3.17000      1.04090      0.54508      0.49582
     -3.16000      0.93236      0.47651      0.45585
     -3.15000      0.74815      0.38586      0.36229
     -3.14000      0.66454      0.33839      0.32614
     -3.13000      0.69805      0.34913      0.34892
     -3.12000      0.66651      0.33112      0.33539
     -3.11000      0.51873      0.24995      0.26878
     -3.10000      0.43490      0.20983      0.22507
     -3.09000      0.49584      0.25160      0.24424
     -3.08000      0.79080      0.39374      0.39706
     -3.07000      1.35189      0.67850      0.67338
     -3.06000      1.57415      0.82609      0.74806
     -3.05000      1.19388      0.65218      0.54170
     -3.04000      0.93226      0.49776      0.43450
     -3.03000      0.98920      0.49063      0.49856
     -3.02000      0.97839      0.46471      0.51368
     -3.01000      0.79261      0.38514      0.40748
     -3.00000      0.61783      0.31445      0.30339
     -2.99000      0.66353      0.34763      0.31590
     -2.98000      0.94508      0.51072      0.43435
     -2.97000      1.21251      0.65450      0.55801
     -2.96000      1.12313      0.59131      0.53182
     -2.95000      0.93475      0.48669      0.44807
     -2.94000      1.00267      0.52100      0.48167
     -2.93000      1.20654      0.58970      0.61684
     -2.92000      1.37934      0.63551      0.74383
     -2.91000      1.48381      0.68190      0.80191
     -2.90000      1.39065      0.66097      0.72968
     -2.89000      1.05969      0.52805      0.53164
     -2.88000      0.78057      0.40121      0.37936
     -2.87000      0.59977      0.31132      0.28845
     -2.86000      0.48212      0.24301      0.23911
     -2.85000      0.49090      0.22951      0.26139
     -2.84000      0.61305      0.28135      0.33170
     -2.83000      0.63880      0.29950      0.33930
     -2.82000      0.51883      0.25456      0.26427
     -2.81000      0.60328      0.30784      0.29544
     -2.80000      0.92882      0.46942      0.45940
     -2.79000      1.11004      0.55031      0.55972
     -2.78000      1.03833      0.51465      0.52368
     -2.77000      1.04592      0.52588      0.52004
     -2.76000      1.17636      0.59074      0.58562
     -2.75000      1.15145      0.56639      0.58507
     -2.74000      1.14321      0.54466      0.59855
     -2.73000      1.30074      0.61338      0.68736
     -2.72000      1.45137      0.69838      0.75298
     -2.71000      1.32397      0.65123      0.67274
     -2.70000      0.94935      0.48381      0.46554
     -2.69000      0.78942      0.41675      0.37268
     -2.68000      0.81195      0.41888      0.39307
     -2.67000      0.85155      0.41870      0.43285
     -2.66000      0.89304      0.41043      0.48261
     -2.65000      0.92928      0.41012      0.51916
     -2.64000      0.96410      0.43003      0.53407
     -2.63000      0.93252      0.42964      0.50288
     -2.62000      0.90726      0.41780      0.48946
     -2.61000      1.02499      0.46072      0.56427
     -2.60000      1.15950      0.52185      0.63764
     -2.59000      1.06537      0.48579      0.57958
     -2.58000      0.94479      0.43967      0.50512
     -2.57000      0.92970      0.44797      0.48173
     -2.56000      0.84740      0.41812      0.42928
     -2.55000      0.82391      0.39639      0.42752
     -2.54000      0.95883      0.43358      0.52525
     -2.53000      1.01524      0.46365      0.55159
     -2.52000      1.02907      0.49417      0.53490
     -2.51000      1.09127      0.52032      0.57095
     -2.50000      1.24347      0.57663      0.66684
     -2.49000      1.29963      0.60493      0.69470
     -2.48000      1.05516      0.50239      0.55277
     -2.47000      0.92763      0.44230      0.48533
     -2.46000      1.10404      0.51250      0.59154
     -2.45000      1.19729      0.55581      0.64148
     -2.44000      1.11629      0.51950      0.59679
     -2.43000      1.15275      0.52684      0.62591
     -2.42000      1.24547      0.56035      0.68512
     -2.41000      1.29221      0.58268      0.70954
     -2.40000      1.29341      0.58830      0.70511
     -2.39000      1.16975      0.53959      0.63017
     -2.38000      0.96892      0.44816      0.52076
     -2.37000      0.85217      0.38181      0.47036
     -2.36000      0.95524      0.41899      0.53625
     -2.35000      1.14507      0.51722      0.62785
     -2.34000      1.22044      0.56230      0.65813
     -2.33000      1.09862      0.49233      0.60629
     -2.32000      1.10021      0.48039      0.61982
     -2.31000      1.45646      0.64592      0.81054
     -2.30000      1.57039      0.70476      0.86563
     -2.29000      1.36667      0.60088      0.76578
     -2.28000      1.40075      0.59872      0.80203
     -2.27000      1.48568      0.63043      0.85525
     -2.26000      1.36519      0.58842      0.77676
     -2.25000      1.33898      0.59499      0.74399
     -2.24000      1.36293      0.60896      0.75397
     -2.23000      1.17437      0.51954      0.65483
     -2.22000      0.93113      0.41638      0.51475
     -2.21000      0.94142      0.44221      0.49921
     -2.20000      1.41312      0.66583      0.74729
     -2.19000      1.75170      0.80547      0.94622
     -2.18000      1.53004      0.68293      0.84710
     -2.17000      1.35398      0.59454      0.75944
     -2.16000      1.35449      0.59003      0.76446
     -2.15000      1.29187      0.54885      0.74302
     -2.14000      1.19962      0.51771      0.68191
     -2.13000      1.14568      0.51085      0.63483
     -2.12000      1.19807      0.53176      0.66631
     -2.11000      1.43125      0.63865      0.79260
     -2.10000      1.48557      0.65684      0.82873
     -2.09000      1.44346      0.60829      0.83517
     -2.08000      1.66021      0.68492      0.97529
     -2.07000      1.73376      0.73195      1.00180
     -2.06000      1.74046      0.75998      0.98048
     -2.05000      1.74713      0.77419      0.97294
     -2.04000      1.50177      0.65355      0.84822
     -2.03000      1.51498      0.62792      0.88707
     -2.02000      1.73025      0.70495      1.02530
     -2.01000      1.51356      0.63457      0.87900
     -2.00000      1.16947      0.51957      0.64990
     -1.99000      1.13494      0.51204      0.62290
     -1.98000      1.40884      0.61320      0.79564
     -1.97000      1.54078      0.65218      0.88860
     -1.96000      1.34412      0.55945      0.78467
     -1.95000      1.35525      0.55794      0.79731
     -1.94000      1.71809      0.68939      1.02871
     -1.93000      2.11824      0.83679      1.28145
     -1.92000      2.09204      0.82235      1.26969
     -1.91000      1.48844      0.58169      0.90676
     -1.90000      1.01197      0.39601      0.61596
     -1.89000      0.99611      0.39278      0.60333
     -1.88000      1.23405      0.49274      0.74131
     -1.87000      1.58390      0.64648      0.93742
     -1.86000      1.74817      0.73697      1.01119
     -1.85000      1.64690      0.72501      0.92189
     -1.84000      1.47704      0.65780      0.81924
     -1.83000      1.16790      0.49598      0.67193
     -1.82000      1.07207      0.42413      0.64795
     -1.81000      1.37164      0.52804      0.84359
     -1.80000      1.71179      0.66733      1.04446
     -1.79000      1.83059      0.72734      1.10325
     -1.78000      1.75544      0.69624      1.05920
     -1.77000      1.69915      0.65557      1.04358
     -1.76000      1.69978      0.63788      1.06190
     -1.75000      1.75268      0.65582      1.09686
     -1.74000      1.65932      0.62752      1.03179
     -1.73000      1.41281      0.54463      0.86817
     -1.72000      1.20246      0.47644      0.72602
     -1.71000      1.10299      0.45037      0.65262
     -1.70000      1.38582      0.56165      0.82417
     -1.69000      1.91401      0.76234      1.15167
     -1.68000      2.22698      0.88048      1.34649
     -1.67000      2.04650      0.79398      1.25251
     -1.66000      1.81741      0.69486      1.12254
     -1.65000      1.91309      0.72542      1.18767
     -1.64000      1.91489      0.71206      1.20283
     -1.63000      1.68402      0.60289      1.08113
     -1.62000      1.33305      0.45543      0.87761
     -1.61000      1.22499      0.41224      0.81275
     -1.60000      1.48299      0.52101      0.96198
     -1.59000      1.72809      0.62265      1.10543
     -1.58000      1.79428      0.64602      1.14826
     -1.57000      1.90799      0.68110      1.22689
     -1.56000      2.05438      0.72431      1.33007
     -1.55000      1.68916      0.58226      1.10690
     -1.54000      1.50166      0.51297      0.98869
     -1.53000      1.99183      0.70998      1.28185
     -1.52000      2.43045      0.87139      1.55906
     -1.51000      2.20558      0.77678      1.42880
