Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Cd S  
     -2.75003     18.46779     16.03960      2.42820
     -2.74003     16.71908     14.50944      2.20964
     -2.73003      8.41713      6.53217      1.88496
     -2.72003      4.48323      2.69052      1.79272
     -2.71003      7.78637      5.69469      2.09168
     -2.70003      9.55525      7.24398      2.31127
     -2.69003      9.14589      6.83645      2.30943
     -2.68003      8.67947      6.48998      2.18949
     -2.67003      8.38057      6.21220      2.16837
     -2.66003      8.14224      5.85727      2.28497
     -2.65003      7.58869      5.37697      2.21172
     -2.64003      7.30138      5.18256      2.11883
     -2.63003      7.80623      5.55987      2.24636
     -2.62003      8.05874      5.76842      2.29032
     -2.61003      7.72504      5.49383      2.23120
     -2.60003      7.72833      5.41820      2.31013
     -2.59003      8.31613      5.79650      2.51964
     -2.58003      8.79805      6.10781      2.69024
     -2.57003      8.50414      5.84271      2.66143
     -2.56003      7.98363      5.52622      2.45741
     -2.55003      7.71565      5.43156      2.28408
     -2.54003      7.37470      5.17553      2.19917
     -2.53003      6.64284      4.51505      2.12778
     -2.52003      5.73356      3.62318      2.11038
     -2.51003      5.12827      2.87285      2.25542
     -2.50003      4.69036      2.34788      2.34247
     -2.49003      4.07283      1.88606      2.18677
     -2.48003      3.44585      1.43292      2.01292
     -2.47003      2.96058      1.04312      1.91747
     -2.46003      2.67758      0.83943      1.83814
     -2.45003      2.61139      0.79654      1.81485
     -2.44003      2.57566      0.77759      1.79807
     -2.43003      2.43304      0.72352      1.70952
     -2.42003      2.41775      0.71153      1.70622
     -2.41003      2.73415      0.80210      1.93204
     -2.40003      3.10153      0.90614      2.19539
     -2.39003      3.28110      0.95940      2.32170
     -2.38003      3.11116      0.92066      2.19050
     -2.37003      2.66892      0.80005      1.86886
     -2.36003      2.54398      0.76134      1.78264
     -2.35003      2.63416      0.78937      1.84479
     -2.34003      2.50516      0.75581      1.74934
     -2.33003      2.39407      0.72309      1.67098
     -2.32003      2.47525      0.74902      1.72623
     -2.31003      2.68826      0.80548      1.88278
     -2.30003      2.88063      0.84515      2.03548
     -2.29003      2.87622      0.82042      2.05580
     -2.28003      2.70772      0.75625      1.95147
     -2.27003      2.59816      0.73318      1.86497
     -2.26003      2.49723      0.72500      1.77223
     -2.25003      2.53797      0.74553      1.79244
     -2.24003      2.65748      0.76990      1.88759
     -2.23003      2.73870      0.78140      1.95730
     -2.22003      2.98134      0.84905      2.13229
     -2.21003      3.31208      0.95370      2.35838
     -2.20003      3.49540      1.00880      2.48660
     -2.19003      3.36951      0.96019      2.40931
     -2.18003      3.14270      0.88858      2.25412
     -2.17003      3.29870      0.92804      2.37066
     -2.16003      3.49962      0.97327      2.52635
     -2.15003      3.34071      0.91835      2.42236
     -2.14003      2.91904      0.80529      2.11375
     -2.13003      2.47814      0.68542      1.79273
     -2.12003      2.37495      0.64995      1.72500
     -2.11003      2.55446      0.69954      1.85492
     -2.10003      2.63680      0.72659      1.91021
     -2.09003      2.69394      0.74933      1.94461
     -2.08003      3.09477      0.87010      2.22467
     -2.07003      3.38251      0.94544      2.43707
     -2.06003      3.28973      0.90400      2.38573
     -2.05003      3.11586      0.85116      2.26470
     -2.04003      3.03293      0.83758      2.19535
     -2.03003      3.14078      0.87872      2.26207
     -2.02003      3.28918      0.91412      2.37506
     -2.01003      3.50955      0.96715      2.54240
     -2.00003      3.85470      1.06805      2.78665
     -1.99003      3.77181      1.04698      2.72483
     -1.98003      3.33022      0.92331      2.40691
     -1.97003      3.20727      0.87891      2.32836
     -1.96003      3.21134      0.85783      2.35351
     -1.95003      2.96024      0.77668      2.18356
     -1.94003      3.03503      0.79523      2.23980
     -1.93003      3.48640      0.92219      2.56421
     -1.92003      3.60527      0.95792      2.64735
     -1.91003      3.27285      0.86787      2.40498
     -1.90003      2.99858      0.79804      2.20054
     -1.89003      2.80162      0.74620      2.05543
     -1.88003      2.81501      0.74402      2.07099
     -1.87003      3.29575      0.86080      2.43495
     -1.86003      4.13222      1.07772      3.05449
     -1.85003      4.61668      1.21182      3.40486
     -1.84003      4.36471      1.14923      3.21548
     -1.83003      4.10683      1.08102      3.02582
     -1.82003      3.80044      0.99986      2.80058
     -1.81003      3.40004      0.89322      2.50682
     -1.80003      3.50845      0.91701      2.59144
     -1.79003      3.70477      0.96225      2.74252
     -1.78003      3.61366      0.93257      2.68109
     -1.77003      3.70134      0.94601      2.75534
     -1.76003      3.89774      0.99105      2.90670
     -1.75003      3.86114      0.98648      2.87466
     -1.74003      3.81995      0.98381      2.83615
     -1.73003      4.11651      1.05162      3.06489
     -1.72003      4.59686      1.15954      3.43732
     -1.71003      4.83670      1.22199      3.61471
     -1.70003      4.98547      1.26298      3.72249
     -1.69003      5.12765      1.29669      3.83096
     -1.68003      5.32984      1.34193      3.98791
     -1.67003      5.39438      1.34919      4.04518
     -1.66003      4.86390      1.21738      3.64653
     -1.65003      4.20469      1.05716      3.14753
     -1.64003      3.98597      0.99816      2.98781
     -1.63003      4.41376      1.08829      3.32547
     -1.62003      4.81502      1.17618      3.63884
     -1.61003      4.99947      1.21538      3.78409
     -1.60003      5.12492      1.24219      3.88273
     -1.59003      5.14478      1.24436      3.90042
     -1.58003      5.17768      1.24982      3.92786
     -1.57003      5.06735      1.22397      3.84338
     -1.56003      5.02593      1.21414      3.81179
     -1.55003      4.81053      1.16531      3.64522
     -1.54003      4.58907      1.11287      3.47620
     -1.53003      4.56431      1.10818      3.45614
     -1.52003      4.31065      1.05770      3.25295
     -1.51003      4.02323      0.98479      3.03844
     -1.50003      3.98176      0.95778      3.02398
     -1.49003      4.15451      0.99523      3.15928
     -1.48003      4.39708      1.06198      3.33510
     -1.47003      4.42552      1.06985      3.35566
     -1.46003      4.45464      1.06923      3.38541
     -1.45003      4.19589      1.00129      3.19460
     -1.44003      3.97253      0.95165      3.02087
     -1.43003      3.91506      0.95010      2.96497
     -1.42003      3.53458      0.86156      2.67302
     -1.41003      3.36667      0.80932      2.55735
     -1.40003      3.62553      0.86253      2.76300
     -1.39003      3.72797      0.88495      2.84302
     -1.38003      3.61987      0.85804      2.76182
     -1.37003      3.62728      0.85880      2.76848
     -1.36003      3.58327      0.84746      2.73581
     -1.35003      3.46433      0.81502      2.64931
     -1.34003      3.42005      0.79794      2.62211
     -1.33003      3.26480      0.75814      2.50666
     -1.32003      3.22201      0.74734      2.47468
     -1.31003      3.41112      0.79192      2.61920
     -1.30003      3.61272      0.84122      2.77150
     -1.29003      3.60743      0.84498      2.76244
     -1.28003      3.43820      0.80982      2.62838
     -1.27003      3.31144      0.77936      2.53208
     -1.26003      3.31174      0.77670      2.53503
     -1.25003      3.15179      0.73351      2.41828
     -1.24003      2.93494      0.67613      2.25881
     -1.23003      3.10127      0.70886      2.39240
     -1.22003      3.31867      0.75674      2.56193
     -1.21003      3.21938      0.73323      2.48615
     -1.20003      3.21122      0.72880      2.48242
     -1.19003      3.33071      0.75316      2.57754
     -1.18003      3.20407      0.72110      2.48298
     -1.17003      2.47875      0.55902      1.91972
     -1.16003     -2.67969     -0.59845     -2.08124
     -1.15003    -14.01807     -3.14957    -10.86850
     -1.14003    -15.46306     -3.47537    -11.98769
     -1.13003     -4.37686     -0.98063     -3.39623
     -1.12003      1.95440      0.44181      1.51259
     -1.11003      2.97605      0.66520      2.31085
     -1.10003      2.93938      0.65301      2.28637
     -1.09003      2.54347      0.56728      1.97619
     -1.08003      2.05928      0.46530      1.59398
     -1.07003      1.86120      0.41981      1.44139
     -1.06003      2.08799      0.46195      1.62605
     -1.05003      2.59056      0.57119      2.01937
     -1.04003      2.99263      0.66324      2.32939
     -1.03003      3.00134      0.66521      2.33613
     -1.02003      2.61214      0.57576      2.03638
     -1.01003      2.12835      0.46755      1.66080
     -1.00003      1.78484      0.39136      1.39349
     -0.99003      1.68656      0.36956      1.31700
     -0.98003      1.86442      0.40736      1.45706
     -0.97003      2.10650      0.45701      1.64949
     -0.96003      2.29543      0.49535      1.80008
     -0.95003      2.32588      0.50558      1.82030
     -0.94003      2.05847      0.45283      1.60564
     -0.93003      1.83314      0.40107      1.43207
     -0.92003      1.84014      0.39787      1.44227
     -0.91003      1.81940      0.39147      1.42794
     -0.90003      1.69792      0.36595      1.33197
     -0.89003      1.72477      0.37236      1.35241
     -0.88003      1.94329      0.41550      1.52779
     -0.87003      2.03189      0.43278      1.59911
     -0.86003      1.81042      0.38499      1.42542
     -0.85003      1.72216      0.36588      1.35629
     -0.84003      1.86828      0.40151      1.46677
     -0.83003      1.83162      0.39534      1.43628
     -0.82003      1.68847      0.35824      1.33023
     -0.81003      1.70299      0.35455      1.34844
     -0.80003      1.70208      0.35241      1.34967
     -0.79003      1.66006      0.34810      1.31196
     -0.78003      1.65537      0.35582      1.29955
     -0.77003      1.52408      0.32920      1.19488
     -0.76003      1.42430      0.30032      1.12398
     -0.75003      1.30958      0.27070      1.03888
     -0.74003      1.30685      0.26945      1.03740
